Sample,N_4,N_4.1,N_4.2,N_2,N_2.1,N_2.2
AM_91224_L_1,1.8,1.8,2.5,NA,NA,NA
AM_91224_L_2,1.8,1.9,2,NA,NA,NA
AM_91224_L_3,0.7,1.3,NA,NA,NA,NA
AM_91224_L_4,3,4,6,NA,NA,NA
AM_91224_L_5,7,5,2,NA,NA,NA
AM_91224_L_6,4,3,8,NA,NA,NA
AM_91224_L_7,8,4,6,NA,NA,NA
AM_91224_L_8,11,12,13,NA,NA,NA
AM_91224_L_9,6,6,2,NA,NA,NA
AM_91224_L_10,4,5,5,NA,NA,NA
AM_91224_L_11,8,8,11,NA,NA,NA
AM_91224_L_12,2.6,3.8,4.1,NA,NA,NA
AM_91224_S_1,NA,NA,NA,9,11,8
AM_91224_S_2,NA,NA,NA,15,19,15
AM_91224_S_3,NA,NA,NA,5,6,3
AM_91224_S_4,NA,NA,NA,10,40,NA
AM_91224_S_5,NA,NA,NA,40,60,110
AM_91224_S_6,NA,NA,NA,28,18,28
AM_91224_S_7,NA,NA,NA,20,23,22
AM_91224_S_8,NA,NA,NA,60,60,110
AM_91224_S_9,NA,NA,NA,27,24,19
AM_91224_S_10,NA,NA,NA,1.6,1.9,2.4
AM_91224_S_11,NA,NA,NA,0.1,0.3,0.1
AM_91224_S_12,NA,NA,NA,18,32,35
