Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,FALSE,G1_L1,atpe,VIC,Unknown,Undetermined,
A2,FALSE,G1_L2,atpe,VIC,Unknown,Undetermined,
A3,FALSE,G1_L3,atpe,VIC,Unknown,Undetermined,
A4,FALSE,G2_L1,atpe,VIC,Unknown,27.598225274271954,4.394677930593419
A5,FALSE,G2_L2,atpe,VIC,Unknown,34.969280740687736,0.087882177
A6,FALSE,G2_L3,atpe,VIC,Unknown,28.09567606400647,3.374930107585657
A7,FALSE,G3_L1,atpe,VIC,Unknown,Undetermined,
A8,FALSE,G3_L2,atpe,VIC,Unknown,Undetermined,
A9,FALSE,G3_L3,atpe,VIC,Unknown,Undetermined,
A10,FALSE,G4_L1,atpe,VIC,Unknown,Undetermined,
A11,FALSE,G4_L2,atpe,VIC,Unknown,Undetermined,
A12,FALSE,G4_L3,atpe,VIC,Unknown,Undetermined,
B1,FALSE,G1_L1,atpe,VIC,Unknown,Undetermined,
B2,FALSE,G1_L2,atpe,VIC,Unknown,Undetermined,
B3,FALSE,G1_L3,atpe,VIC,Unknown,Undetermined,
B4,FALSE,G2_L1,atpe,VIC,Unknown,27.796890984232874,3.9548923029712704
B5,FALSE,G2_L2,atpe,VIC,Unknown,32.43666142,0.3370302321677204
B6,FALSE,G2_L3,atpe,VIC,Unknown,28.02389972647508,3.5059781833054084
B7,FALSE,G3_L1,atpe,VIC,Unknown,Undetermined,
B8,FALSE,G3_L2,atpe,VIC,Unknown,Undetermined,
B9,FALSE,G3_L3,atpe,VIC,Unknown,Undetermined,
B10,FALSE,G4_L1,atpe,VIC,Unknown,Undetermined,
B11,FALSE,G4_L2,atpe,VIC,Unknown,Undetermined,
B12,FALSE,G4_L3,atpe,VIC,Unknown,36.15003739971105,0.046960934
C1,FALSE,G1_L1,atpe,VIC,Unknown,Undetermined,
C2,FALSE,G1_L2,atpe,VIC,Unknown,Undetermined,
C3,FALSE,G1_L3,atpe,VIC,Unknown,Undetermined,
C4,FALSE,G2_L1,atpe,VIC,Unknown,27.733797388563154,4.089570674585227
C5,FALSE,G2_L2,atpe,VIC,Unknown,34.38463877228334,0.11985623151015201
C6,FALSE,G2_L3,atpe,VIC,Unknown,28.085432506116447,3.3933286242393907
C7,FALSE,G3_L1,atpe,VIC,Unknown,Undetermined,
C8,FALSE,G3_L2,atpe,VIC,Unknown,Undetermined,
C9,FALSE,G3_L3,atpe,VIC,Unknown,Undetermined,
C10,FALSE,G4_L1,atpe,VIC,Unknown,Undetermined,
C11,FALSE,G4_L2,atpe,VIC,Unknown,Undetermined,
C12,FALSE,G4_L3,atpe,VIC,Unknown,Undetermined,
D1,FALSE,G4_L4,atpe,VIC,Unknown,Undetermined,
D2,FALSE,G5_L1,atpe,VIC,Unknown,Undetermined,
D3,FALSE,G5_L2,atpe,VIC,Unknown,Undetermined,
D4,FALSE,G5_L3,atpe,VIC,Unknown,Undetermined,
D5,FALSE,DNASD_4,atpe,VIC,Standard,18.16179686091204,589.3353141
D6,FALSE,DNASD_6,atpe,VIC,Standard,21.954877382275832,97.07655752
D7,FALSE,DNASD_12,atpe,VIC,Standard,31.71050562982399,0.43388044
D8,FALSE,DNASD_13,atpe,VIC,Standard,32.98377070362997,0.176094594
D9,FALSE,DNASD_15,atpe,VIC,Standard,36.32932016902605,0.029006673
D10,FALSE,H2O,atpe,VIC,Negative Control,Undetermined,
D11,FALSE,,atpe,VIC,Unknown,Undetermined,
D12,FALSE,,atpe,VIC,Unknown,Undetermined,
