Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,FALSE,G1_S1,atpe,VIC,Unknown,Undetermined,
A2,FALSE,G1_S2,atpe,VIC,Unknown,Undetermined,
A3,FALSE,G1_S3,atpe,VIC,Unknown,Undetermined,
A4,FALSE,G2_S1,atpe,VIC,Unknown,24.580035753713105,12.63928510554531
A5,FALSE,G2_S2,atpe,VIC,Unknown,23.885518759928956,18.54562193476913
A6,FALSE,G2_S3,atpe,VIC,Unknown,25.297356340972698,8.506211558491602
A7,FALSE,G3_S1,atpe,VIC,Unknown,33.61302163441786,0.086288782
A8,FALSE,G3_S2,atpe,VIC,Unknown,Undetermined,
A9,FALSE,G3_S3,atpe,VIC,Unknown,35.33306885468703,0.033385056163456994
A10,FALSE,G4_S1,atpe,VIC,Unknown,35.440510356133046,0.03146239
A11,FALSE,G4_S2,atpe,VIC,Unknown,32.94582371838028,0.12471628099200412
A12,FALSE,G4_S3,atpe,VIC,Unknown,32.889697847148554,0.12864117899083255
B1,FALSE,G1_S1,atpe,VIC,Unknown,Undetermined,
B2,FALSE,G1_S2,atpe,VIC,Unknown,Undetermined,
B3,FALSE,G1_S3,atpe,VIC,Unknown,Undetermined,
B4,FALSE,G2_S1,atpe,VIC,Unknown,24.567526982217153,12.72687094994913
B5,FALSE,G2_S2,atpe,VIC,Unknown,23.761141739365627,19.863798669043756
B6,FALSE,G2_S3,atpe,VIC,Unknown,25.903701437661347,6.086359096547485
B7,FALSE,G3_S1,atpe,VIC,Unknown,34.216739855278675,0.061830899
B8,FALSE,G3_S2,atpe,VIC,Unknown,33.69700134723236,0.082379506
B9,FALSE,G3_S3,atpe,VIC,Unknown,Undetermined,
B10,FALSE,G4_S1,atpe,VIC,Unknown,33.82338095483583,0.076827754
B11,FALSE,G4_S2,atpe,VIC,Unknown,33.77528121890076,0.078895209
B12,FALSE,G4_S3,atpe,VIC,Unknown,32.81362958384716,0.13415853356545776
C1,FALSE,G1_S1,atpe,VIC,Unknown,Undetermined,
C2,FALSE,G1_S2,atpe,VIC,Unknown,Undetermined,
C3,FALSE,G1_S3,atpe,VIC,Unknown,Undetermined,
C4,FALSE,G2_S1,atpe,VIC,Unknown,25.37975176460244,8.127947232575508
C5,FALSE,G2_S2,atpe,VIC,Unknown,24.290792006754593,14.827646196214507
C6,FALSE,G2_S3,atpe,VIC,Unknown,25.582493492770517,7.267266416335234
C7,FALSE,G3_S1,atpe,VIC,Unknown,34.80483299469637,0.044689251406570034
C8,FALSE,G3_S2,atpe,VIC,Unknown,35.01453360925231,0.039803825
C9,FALSE,G3_S3,atpe,VIC,Unknown,35.280589283205515,0.034366454
C10,FALSE,G4_S1,atpe,VIC,Unknown,35.70310763875386,0.027216408
C11,FALSE,G4_S2,atpe,VIC,Unknown,33.08337605350003,0.11559613336843073
C12,FALSE,G4_S3,atpe,VIC,Unknown,33.08426586332682,0.11553936189552788
D1,FALSE,G4_S4,atpe,VIC,Unknown,36.220893255739284,0.020449628307962674
D2,FALSE,G5_S1,atpe,VIC,Unknown,Undetermined,
D3,FALSE,G5_S2,atpe,VIC,Unknown,36.91342773176146,0.013952173224728468
D4,FALSE,G5_S3,atpe,VIC,Unknown,36.87146293359028,0.014279185322792709
D5,FALSE,DNASD_4,atpe,VIC,Standard,17.476993193745358,589.3353141
D6,FALSE,DNASD_6,atpe,VIC,Standard,20.781727857512415,97.07655752
D7,FALSE,DNASD_12,atpe,VIC,Standard,31.132793948731432,0.43388044
D8,FALSE,DNASD_13,atpe,VIC,Standard,32.943378273793286,0.176094594
D9,FALSE,DNASD_15,atpe,VIC,Standard,34.04314411137088,0.029006673
D10,FALSE,H2O,atpe,VIC,Negative Control,Undetermined,
E1,FALSE,G4_S4,atpe,VIC,Unknown,38.35351503057946,0.006300332
E2,FALSE,G5_S1,atpe,VIC,Unknown,Undetermined,
E3,FALSE,G5_S2,atpe,VIC,Unknown,36.44484225770405,0.018071363560915932
E4,FALSE,G5_S3,atpe,VIC,Unknown,Undetermined,
E5,FALSE,DNASD_4,atpe,VIC,Standard,17.300487827566535,589.3353141
E6,FALSE,DNASD_6,atpe,VIC,Standard,20.335445882646944,97.07655752
E7,FALSE,DNASD_12,atpe,VIC,Standard,31.51191923599589,0.43388044
E8,FALSE,DNASD_13,atpe,VIC,Standard,33.66260743792955,0.176094594
E9,FALSE,DNASD_15,atpe,VIC,Standard,35.65524072994506,0.029006673
E10,FALSE,H2O,atpe,VIC,Negative Control,Undetermined,
F1,FALSE,G4_S4,atpe,VIC,Unknown,Undetermined,
F2,FALSE,G5_S1,atpe,VIC,Unknown,Undetermined,
F3,FALSE,G5_S2,atpe,VIC,Unknown,36.29072270179138,0.019676278
F4,FALSE,G5_S3,atpe,VIC,Unknown,36.05813506023867,0.022372199042682086
F5,FALSE,DNASD_4,atpe,VIC,Standard,17.558003374892586,589.3353141
F6,FALSE,DNASD_6,atpe,VIC,Standard,20.744795362335566,97.07655752
F7,FALSE,DNASD_12,atpe,VIC,Standard,32.463244340591814,0.43388044
F8,FALSE,DNASD_13,atpe,VIC,Standard,32.278449308000106,0.176094594
F9,FALSE,DNASD_15,atpe,VIC,Standard,33.42366830275799,0.029006673
F10,FALSE,H2O,atpe,VIC,Negative Control,Undetermined,
