"Sample","Dilution","Count","CFU_Count","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"Spleen_1","N2",14,70000,"29.011710759979096",0.750058337181816,78457.9850608594,"20241612","AN"
"Spleen_1","N2",14,70000,"29.10937664138735",0.708689840483818,74130.7364522822,"20241612","AN"
"Spleen_1","N2",14,70000,"29.60881480991884",0.530224199265895,55462.782349989,"20241612","AN"
"Spleen_1","N2",33,165000,"29.011710759979096",0.750058337181816,78457.9850608594,"20241612","AN"
"Spleen_1","N2",33,165000,"29.10937664138735",0.708689840483818,74130.7364522822,"20241612","AN"
"Spleen_1","N2",33,165000,"29.60881480991884",0.530224199265895,55462.782349989,"20241612","AN"
"Spleen_1","N2",34,170000,"29.011710759979096",0.750058337181816,78457.9850608594,"20241612","AN"
"Spleen_1","N2",34,170000,"29.10937664138735",0.708689840483818,74130.7364522822,"20241612","AN"
"Spleen_1","N2",34,170000,"29.60881480991884",0.530224199265895,55462.782349989,"20241612","AN"
"Spleen_1","N3",5,250000,"29.011710759979096",0.750058337181816,78457.9850608594,"20241612","AN"
"Spleen_1","N3",5,250000,"29.10937664138735",0.708689840483818,74130.7364522822,"20241612","AN"
"Spleen_1","N3",5,250000,"29.60881480991884",0.530224199265895,55462.782349989,"20241612","AN"
"Spleen_1","N3",2,1e+05,"29.011710759979096",0.750058337181816,78457.9850608594,"20241612","AN"
"Spleen_1","N3",2,1e+05,"29.10937664138735",0.708689840483818,74130.7364522822,"20241612","AN"
"Spleen_1","N3",2,1e+05,"29.60881480991884",0.530224199265895,55462.782349989,"20241612","AN"
"Spleen_1","N3",5,250000,"29.011710759979096",0.750058337181816,78457.9850608594,"20241612","AN"
"Spleen_1","N3",5,250000,"29.10937664138735",0.708689840483818,74130.7364522822,"20241612","AN"
"Spleen_1","N3",5,250000,"29.60881480991884",0.530224199265895,55462.782349989,"20241612","AN"
"Spleen_2","N2",10,50000,"29.19952236165699",0.672534446,70348.7914225941,"20241612","AN"
"Spleen_2","N2",10,50000,"29.760871151171266",0.485399425532049,50773.998486616,"20241612","AN"
"Spleen_2","N2",10,50000,"30.433519041977732",0.328402006439943,34351.6743138016,"20241612","AN"
"Spleen_2","N2",4,20000,"29.19952236165699",0.672534446,70348.7914225941,"20241612","AN"
"Spleen_2","N2",4,20000,"29.760871151171266",0.485399425532049,50773.998486616,"20241612","AN"
"Spleen_2","N2",4,20000,"30.433519041977732",0.328402006439943,34351.6743138016,"20241612","AN"
"Spleen_2","N2",6,30000,"29.19952236165699",0.672534446,70348.7914225941,"20241612","AN"
"Spleen_2","N2",6,30000,"29.760871151171266",0.485399425532049,50773.998486616,"20241612","AN"
"Spleen_2","N2",6,30000,"30.433519041977732",0.328402006439943,34351.6743138016,"20241612","AN"
"Spleen_2","N3",2,1e+05,"29.19952236165699",0.672534446,70348.7914225941,"20241612","AN"
"Spleen_2","N3",2,1e+05,"29.760871151171266",0.485399425532049,50773.998486616,"20241612","AN"
"Spleen_2","N3",2,1e+05,"30.433519041977732",0.328402006439943,34351.6743138016,"20241612","AN"
"Spleen_3","N2",29,145000,"28.356470884592547",1.09748062146587,114799.228186806,"20241612","AN"
"Spleen_3","N2",29,145000,"27.931741541813523",1.40457915596995,146922.505854597,"20241612","AN"
"Spleen_3","N2",29,145000,"28.30243865781268",1.13247321164353,118459.540966896,"20241612","AN"
"Spleen_3","N2",27,135000,"28.356470884592547",1.09748062146587,114799.228186806,"20241612","AN"
"Spleen_3","N2",27,135000,"27.931741541813523",1.40457915596995,146922.505854597,"20241612","AN"
"Spleen_3","N2",27,135000,"28.30243865781268",1.13247321164353,118459.540966896,"20241612","AN"
"Spleen_3","N3",5,250000,"28.356470884592547",1.09748062146587,114799.228186806,"20241612","AN"
"Spleen_3","N3",5,250000,"27.931741541813523",1.40457915596995,146922.505854597,"20241612","AN"
"Spleen_3","N3",5,250000,"28.30243865781268",1.13247321164353,118459.540966896,"20241612","AN"
"Spleen_3","N3",2,1e+05,"28.356470884592547",1.09748062146587,114799.228186806,"20241612","AN"
"Spleen_3","N3",2,1e+05,"27.931741541813523",1.40457915596995,146922.505854597,"20241612","AN"
"Spleen_3","N3",2,1e+05,"28.30243865781268",1.13247321164353,118459.540966896,"20241612","AN"
"Spleen_4","N2",12,60000,"28.745962667388632",0.875260079224491,91554.4015925199,"20241612","AN"
"Spleen_4","N2",12,60000,"29.12110245569623",0.703879077259247,73627.5185417622,"20241612","AN"
"Spleen_4","N2",12,60000,"28.935108914443383",0.784187492325546,82027.9803687809,"20241612","AN"
"Spleen_4","N2",17,85000,"28.745962667388632",0.875260079224491,91554.4015925199,"20241612","AN"
"Spleen_4","N2",17,85000,"29.12110245569623",0.703879077259247,73627.5185417622,"20241612","AN"
"Spleen_4","N2",17,85000,"28.935108914443383",0.784187492325546,82027.9803687809,"20241612","AN"
"Spleen_4","N2",20,1e+05,"28.745962667388632",0.875260079224491,91554.4015925199,"20241612","AN"
"Spleen_4","N2",20,1e+05,"29.12110245569623",0.703879077259247,73627.5185417622,"20241612","AN"
"Spleen_4","N2",20,1e+05,"28.935108914443383",0.784187492325546,82027.9803687809,"20241612","AN"
"Spleen_4","N3",4,2e+05,"28.745962667388632",0.875260079224491,91554.4015925199,"20241612","AN"
"Spleen_4","N3",4,2e+05,"29.12110245569623",0.703879077259247,73627.5185417622,"20241612","AN"
"Spleen_4","N3",4,2e+05,"28.935108914443383",0.784187492325546,82027.9803687809,"20241612","AN"
"Spleen_4","N3",2,1e+05,"28.745962667388632",0.875260079224491,91554.4015925199,"20241612","AN"
"Spleen_4","N3",2,1e+05,"29.12110245569623",0.703879077259247,73627.5185417622,"20241612","AN"
"Spleen_4","N3",2,1e+05,"28.935108914443383",0.784187492325546,82027.9803687809,"20241612","AN"
"Spleen_5","N2",4,20000,"32.48113445979196",0.099963152,10456.3966527197,"20241612","AN"
"Spleen_5","N2",4,20000,"32.99849288342335",0.074015455,7742.20240585774,"20241612","AN"
"Spleen_5","N2",4,20000,"32.41659197157644",0.103782113983392,10855.8696635348,"20241612","AN"
"Spleen_5","N2",7,35000,"32.48113445979196",0.099963152,10456.3966527197,"20241612","AN"
"Spleen_5","N2",7,35000,"32.99849288342335",0.074015455,7742.20240585774,"20241612","AN"
"Spleen_5","N2",7,35000,"32.41659197157644",0.103782113983392,10855.8696635348,"20241612","AN"
"Spleen_5","N2",3,15000,"32.48113445979196",0.099963152,10456.3966527197,"20241612","AN"
"Spleen_5","N2",3,15000,"32.99849288342335",0.074015455,7742.20240585774,"20241612","AN"
"Spleen_5","N2",3,15000,"32.41659197157644",0.103782113983392,10855.8696635348,"20241612","AN"
"Spleen_5","N3",2,1e+05,"32.48113445979196",0.099963152,10456.3966527197,"20241612","AN"
"Spleen_5","N3",2,1e+05,"32.99849288342335",0.074015455,7742.20240585774,"20241612","AN"
"Spleen_5","N3",2,1e+05,"32.41659197157644",0.103782113983392,10855.8696635348,"20241612","AN"
"Spleen_6","N2",13,65000,"28.300918817696605",1.13347346626005,118564.170110884,"20241612","AN"
"Spleen_6","N2",13,65000,"28.35333721994793",1.09948019653197,115008.388758575,"20241612","AN"
"Spleen_6","N2",13,65000,"28.286318262735335",1.14312767562399,119574.024646861,"20241612","AN"
"Spleen_6","N2",18,90000,"28.300918817696605",1.13347346626005,118564.170110884,"20241612","AN"
"Spleen_6","N2",18,90000,"28.35333721994793",1.09948019653197,115008.388758575,"20241612","AN"
"Spleen_6","N2",18,90000,"28.286318262735335",1.14312767562399,119574.024646861,"20241612","AN"
"Spleen_6","N2",25,125000,"28.300918817696605",1.13347346626005,118564.170110884,"20241612","AN"
"Spleen_6","N2",25,125000,"28.35333721994793",1.09948019653197,115008.388758575,"20241612","AN"
"Spleen_6","N2",25,125000,"28.286318262735335",1.14312767562399,119574.024646861,"20241612","AN"
"Spleen_6","N3",4,2e+05,"28.300918817696605",1.13347346626005,118564.170110884,"20241612","AN"
"Spleen_6","N3",4,2e+05,"28.35333721994793",1.09948019653197,115008.388758575,"20241612","AN"
"Spleen_6","N3",4,2e+05,"28.286318262735335",1.14312767562399,119574.024646861,"20241612","AN"
"Spleen_6","N3",3,150000,"28.300918817696605",1.13347346626005,118564.170110884,"20241612","AN"
"Spleen_6","N3",3,150000,"28.35333721994793",1.09948019653197,115008.388758575,"20241612","AN"
"Spleen_6","N3",3,150000,"28.286318262735335",1.14312767562399,119574.024646861,"20241612","AN"
"Spleen_7","N2",21,105000,"28.73256248365101",0.882099703531752,92269.8434656645,"20241612","AN"
"Spleen_7","N2",21,105000,"28.544495144569545",0.983926601,102921.192573222,"20241612","AN"
"Spleen_7","N2",21,105000,"28.632854910998986",0.934698580822464,97771.8180776636,"20241612","AN"
"Spleen_7","N2",17,85000,"28.73256248365101",0.882099703531752,92269.8434656645,"20241612","AN"
"Spleen_7","N2",17,85000,"28.544495144569545",0.983926601,102921.192573222,"20241612","AN"
"Spleen_7","N2",17,85000,"28.632854910998986",0.934698580822464,97771.8180776636,"20241612","AN"
"Spleen_7","N2",17,85000,"28.73256248365101",0.882099703531752,92269.8434656645,"20241612","AN"
"Spleen_7","N2",17,85000,"28.544495144569545",0.983926601,102921.192573222,"20241612","AN"
"Spleen_7","N2",17,85000,"28.632854910998986",0.934698580822464,97771.8180776636,"20241612","AN"
"Spleen_7","N3",3,150000,"28.73256248365101",0.882099703531752,92269.8434656645,"20241612","AN"
"Spleen_7","N3",3,150000,"28.544495144569545",0.983926601,102921.192573222,"20241612","AN"
"Spleen_7","N3",3,150000,"28.632854910998986",0.934698580822464,97771.8180776636,"20241612","AN"
