"Sample","Cq","Quantity","CFU_TaqMan","Dilution","Count","CFU_Count","Date_Collected","Collected_By"
"PBS_1","32.02010586528141",0.525742494104895,109987.969478011,"N1",100,20000,"20240312","RB"
"PBS_1","32.02010586528141",0.525742494104895,109987.969478011,"N1.1",120,24000,"20240312","RB"
"PBS_1","32.02010586528141",0.525742494104895,109987.969478011,"N2",12,24000,"20240312","RB"
"PBS_1","32.02010586528141",0.525742494104895,109987.969478011,"N2.2",11,22000,"20240312","RB"
"PBS_2","30.391702903736856",1.40628872843803,294202.662853144,"N1",109,21800,"20240312","RB"
"PBS_2","30.391702903736856",1.40628872843803,294202.662853144,"N1.1",120,24000,"20240312","RB"
"PBS_2","30.391702903736856",1.40628872843803,294202.662853144,"N2",18,36000,"20240312","RB"
"PBS_2","30.391702903736856",1.40628872843803,294202.662853144,"N2.2",12,24000,"20240312","RB"
"PBS_3","31.941454400759454",0.551330013,115341.006903766,"N1",70,14000,"20240312","RB"
"PBS_3","31.941454400759454",0.551330013,115341.006903766,"N1.1",80,16000,"20240312","RB"
"PBS_3","31.941454400759454",0.551330013,115341.006903766,"N2",10,20000,"20240312","RB"
"PBS_3","31.941454400759454",0.551330013,115341.006903766,"N2.2",3,6000,"20240312","RB"
"PBS_4","31.17430943",0.876424416063112,183352.388297722,"N1",140,28000,"20240312","RB"
"PBS_4","31.17430943",0.876424416063112,183352.388297722,"N1.1",150,30000,"20240312","RB"
"PBS_4","31.17430943",0.876424416063112,183352.388297722,"N2",16,32000,"20240312","RB"
"PBS_4","31.17430943",0.876424416063112,183352.388297722,"N2.2",25,50000,"20240312","RB"
"PBS_5","30.953772308429528",1.00134690048439,209486.799264517,"N1",80,16000,"20240312","RB"
"PBS_5","30.953772308429528",1.00134690048439,209486.799264517,"N1.1",80,16000,"20240312","RB"
"PBS_5","30.953772308429528",1.00134690048439,209486.799264517,"N2",14,28000,"20240312","RB"
"PBS_5","30.953772308429528",1.00134690048439,209486.799264517,"N2.2",2,4000,"20240312","RB"
"PBS_6","32.51648539338942",0.389511701192249,81487.8035967048,"N1",70,14000,"20240312","RB"
"PBS_6","32.51648539338942",0.389511701192249,81487.8035967048,"N1.1",70,14000,"20240312","RB"
"PBS_6","32.51648539338942",0.389511701192249,81487.8035967048,"N2",6,12000,"20240312","RB"
"PBS_6","32.51648539338942",0.389511701192249,81487.8035967048,"N2.2",6,12000,"20240312","RB"
"PBS_7","33.13562898616517",0.267950151308955,56056.5170102417,"N1",75,15000,"20240312","RB"
"PBS_7","33.13562898616517",0.267950151308955,56056.5170102417,"N1.1",80,16000,"20240312","RB"
"PBS_7","33.13562898616517",0.267950151308955,56056.5170102417,"N2",9,18000,"20240312","RB"
"PBS_7","33.13562898616517",0.267950151308955,56056.5170102417,"N2.2",5,10000,"20240312","RB"
"PBS_1","31.848125127879207",0.583313089313533,122032.02705304,"N1",100,20000,"20240312","RB"
"PBS_1","31.848125127879207",0.583313089313533,122032.02705304,"N1.1",120,24000,"20240312","RB"
"PBS_1","31.848125127879207",0.583313089313533,122032.02705304,"N2",12,24000,"20240312","RB"
"PBS_1","31.848125127879207",0.583313089313533,122032.02705304,"N2.2",11,22000,"20240312","RB"
"PBS_2","30.72613647296064",1.14899300884759,240375.106453471,"N1",109,21800,"20240312","RB"
"PBS_2","30.72613647296064",1.14899300884759,240375.106453471,"N1.1",120,24000,"20240312","RB"
"PBS_2","30.72613647296064",1.14899300884759,240375.106453471,"N2",18,36000,"20240312","RB"
"PBS_2","30.72613647296064",1.14899300884759,240375.106453471,"N2.2",12,24000,"20240312","RB"
"PBS_3","32.19535329924767",0.472919522,98937.1384937238,"N1",70,14000,"20240312","RB"
"PBS_3","32.19535329924767",0.472919522,98937.1384937238,"N1.1",80,16000,"20240312","RB"
"PBS_3","32.19535329924767",0.472919522,98937.1384937238,"N2",10,20000,"20240312","RB"
"PBS_3","32.19535329924767",0.472919522,98937.1384937238,"N2.2",3,6000,"20240312","RB"
"PBS_4","31.21986296118051",0.852630738073878,178374.631396209,"N1",140,28000,"20240312","RB"
"PBS_4","31.21986296118051",0.852630738073878,178374.631396209,"N1.1",150,30000,"20240312","RB"
"PBS_4","31.21986296118051",0.852630738073878,178374.631396209,"N2",16,32000,"20240312","RB"
"PBS_4","31.21986296118051",0.852630738073878,178374.631396209,"N2.2",25,50000,"20240312","RB"
"PBS_5","31.354022503886313",0.786243055984965,164485.994975934,"N1",80,16000,"20240312","RB"
"PBS_5","31.354022503886313",0.786243055984965,164485.994975934,"N1.1",80,16000,"20240312","RB"
"PBS_5","31.354022503886313",0.786243055984965,164485.994975934,"N2",14,28000,"20240312","RB"
"PBS_5","31.354022503886313",0.786243055984965,164485.994975934,"N2.2",2,4000,"20240312","RB"
"PBS_6","32.36674845202165",0.426395155369078,89204.0073993887,"N1",70,14000,"20240312","RB"
"PBS_6","32.36674845202165",0.426395155369078,89204.0073993887,"N1.1",70,14000,"20240312","RB"
"PBS_6","32.36674845202165",0.426395155369078,89204.0073993887,"N2",6,12000,"20240312","RB"
"PBS_6","32.36674845202165",0.426395155369078,89204.0073993887,"N2.2",6,12000,"20240312","RB"
"PBS_7","32.61478603106434",0.367050575728855,76788.8233742375,"N1",75,15000,"20240312","RB"
"PBS_7","32.61478603106434",0.367050575728855,76788.8233742375,"N1.1",80,16000,"20240312","RB"
"PBS_7","32.61478603106434",0.367050575728855,76788.8233742375,"N2",9,18000,"20240312","RB"
"PBS_7","32.61478603106434",0.367050575728855,76788.8233742375,"N2.2",5,10000,"20240312","RB"
"PBS_1","31.721909190137048",0.629537262308192,131702.356131421,"N1",100,20000,"20240312","RB"
"PBS_1","31.721909190137048",0.629537262308192,131702.356131421,"N1.1",120,24000,"20240312","RB"
"PBS_1","31.721909190137048",0.629537262308192,131702.356131421,"N2",12,24000,"20240312","RB"
"PBS_1","31.721909190137048",0.629537262308192,131702.356131421,"N2.2",11,22000,"20240312","RB"
