"Sample","Dilution","Count","CFU_Count","Date_Collected","Collected_By","Experiment_ID","Date_Plated","Date_Read","MTB_Strain_Type","Strain_Modifications","Infection_Route","Mouse_Type","Treatment","Organ_Tissue","Sample_Storage","Preprocessing","Tissue_Homogenization_Method","Timepoint_dpi","Log_Dilution_Factor","Media","Media_Additive","Plate_Type","Spreading_Method","Total_Plates","Number_of_Replicates","Volume_Per_Plate_uL"
"Spleen_1","N2",14,70000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_1","N2",33,165000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_1","N2",34,170000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_1","N3",5,250000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_1","N3",2,1e+05,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_1","N3",5,250000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_2","N2",10,50000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_2","N2",4,20000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_2","N2",6,30000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_2","N3",2,1e+05,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_3","N2",29,145000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_3","N2",27,135000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_3","N3",5,250000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_3","N3",2,1e+05,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_4","N2",12,60000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_4","N2",17,85000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_4","N2",20,1e+05,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_4","N3",4,2e+05,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_4","N3",2,1e+05,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_5","N2",4,20000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_5","N2",7,35000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_5","N2",3,15000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_5","N3",2,1e+05,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_6","N2",13,65000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_6","N2",18,90000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_6","N2",25,125000,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
"Spleen_6","N3",4,2e+05,"20241612","AN","AN_111924","Saturday,_November_22,_2025","Tuesday,_December_16,_2025","H37Rv","Rv0678_mut","retroorbital","BALB/C","Bedaquiline","Lung_and_Spleen","no","none","mash_through_strainer",3,NA,"7H11","Charcoal","6_well","turn",NA,3,20
