"Sample","Dilution","Count","CFU_Count","Date_Collected","Collected_By","Experiment_ID","Date_Plated","Date_Read","MTB_Strain_Type","Strain_Modifications","Infection_Route","Mouse_Type","Treatment","Organ_Tissue","Sample_Storage","Preprocessing","Tissue_Homogenization_Method","Timepoint_dpi","Log_Dilution_Factor","Media","Media_Additive","Plate_Type","Spreading_Method","Total_Plates","Number_of_Replicates","Volume_Per_Plate_uL"
"PBS_1","N1",100,20000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_1","N1.1",120,24000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_1","N2",12,24000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_1","N2.2",11,22000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_2","N1",109,21800,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_2","N1.1",120,24000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_2","N2",18,36000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_2","N2.2",12,24000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_3","N1",70,14000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
"PBS_3","N1.1",80,16000,"20240312","RB","mabs-WT-NLRP3KO1","Friday,_November_15,_2024","Tuesday,_December_3,_2024","HN878","NA","Aerosol","C57BL6","monoclonal_antibodies","Lung","yes","Enzymatic_digestion","GentleMACS",NA,"0,_1,_2","7H11","PANTA","100_mm_petri_dishes","none",56,2,150
