"Sample","Dilution","Count","CFU_Count","Date_Collected","Collected_By","Experiment_ID","Date_Plated","Date_Read","MTB_Strain_Type","Strain_Modifications","Infection_Route","Mouse_Type","Treatment","Organ_Tissue","Sample_Storage","Preprocessing","Tissue_Homogenization_Method","Timepoint_dpi","Log_Dilution_Factor","Media","Media_Additive","Plate_Type","Spreading_Method","Total_Plates","Number_of_Replicates","Volume_Per_Plate_uL"
"mLN_B1","N2",21,42000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B1","N2.1",24,48000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B1","N3",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B1","N3.1",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B2","N2",11,22000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B2","N2.1",4,8000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B2","N3",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B2","N3.1",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B3","N2",22,44000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B3","N2.1",20,40000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B3","N3",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B3","N3.1",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B4","N2",7,14000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B4","N2.1",15,30000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B4","N3",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_B4","N3.1",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S1","N2",26,52000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S1","N2.1",15,30000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S1","N3",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S1","N3.1",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S2","N2",39,78000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S2","N2.1",38,76000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S2","N3",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S2","N3.1",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S3","N2",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S3","N2.1",NA,NA,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
"mLN_S3","N3",4,80000,"20241211","ZW","zw126","Wednesday,_December_11,_2024",NA,"Rv_pMv261_zsGreen","none","Aerosol","B6_and_SP140ko","none","Spleen_mLN","Frozen_after_CFU","Mash mLN in 6mL RPMI-5%FBS, mash spleen in 5mL PBST",NA,29,NA,"7H11","none","12_well",NA,NA,3,50
