"Sample","Dilution","Count","CFU_Count","Date_Collected","Collected_By","Experiment_ID","Date_Plated","Date_Read","MTB_Strain_Type","Strain_Modifications","Infection_Route","Mouse_Type","Treatment","Organ_Tissue","Sample_Storage","Preprocessing","Tissue_Homogenization_Method","Timepoint_dpi","Log_Dilution_Factor","Media","Media_Additive","Plate_Type","Spreading_Method","Total_Plates","Number_of_Replicates","Volume_Per_Plate_uL"
"ZH_1","N3",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_1","N3.1",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_1","N3.2",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_1","N4",22,4400000,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_1","N4.1",23,4600000,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_1","N4.2",29,5800000,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_1","N5",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_1","N5.1",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_1","N5.2",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_2","N3",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_2","N3.1",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_2","N3.2",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_2","N4",69,13800000,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_2","N4.1",86,17200000,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_2","N4.2",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_2","N5",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_2","N5.1",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
"ZH_2","N5.2",NA,NA,"20241015","ZH","Adoptive_transfer_sort","Wednesday,_October_16,_2024","Tuesday,_November_12,_2024","Erdman","none","aerosol","SP140-/-","none","Lung","4C_overnight","Digested_with_LibTM_DNase","GentleMACS",25,NA,"7H11","none","24_well","none",11,3,20
