"Sample","Dilution","Count","CFU_Count","Experiment_ID","Collected_By","Alina_Dilution","Date_Plated","Date_Read","MTB_Strain_Type","Strain_Modifications","Infection_Route","Mouse_Type","Treatment","Organ_Tissue","Sample_Storage","Preprocessing","Tissue_Homogenization_Method","Timepoint_dpi","Log_Dilution_Factor","Media","Media_Additive","Plate_Type","Spreading_Method","Total_Plates","Number_of_Replicates","Volume_Per_Plate_uL"
"zw135_1","N0",NA,NA,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
"zw135_1","N0.1",NA,NA,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
"zw135_1","N0.2",NA,NA,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
"zw135_1","N1",NA,NA,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
"zw135_1","N1.1",NA,NA,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
"zw135_1","N1.2",NA,NA,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
"zw135_1","N2",21,105000,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
"zw135_1","N2.1",18,90000,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
"zw135_1","N2.2",21,105000,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
"zw135_2","N0",NA,NA,"zw135","WZ","None","Tuesday, May 13, 2025","Monday, June 2, 2025","Rv/pMv261-zsGreen",NA,"Aerosol","B6, Ifnar1-/-",NA,"Spleen","Frozen after CFU","Mash in 6mL PBST","Mash in 6mL PBST",28,"-1, -2, -3, -4","7H11","none","12 well",NA,NA,3,50
