Standard_Name,Standard_C,Log_Conc,Index,Predicted_Log_Conc,Predicted_Conc
S0,3.82,0.582063363,1,0.568782006,3.704947052
S1,1.7,0.230448921,2,0.241347304,1.743200348
S2,0.767,-0.115204636,3,-0.086087398,0.820186472
S3,0.421,-0.375717904,4,-0.4135221,0.385902774
S4,0.177,-0.752026734,5,-0.740956802,0.181569626
S5,NA,NA,6,-1.068391504,0.085429624
S6,NA,NA,7,-1.395826205,0.040195163
S7,NA,NA,8,-1.723260907,0.018912071
S8,NA,NA,9,-2.050695609,0.008898246
S9,NA,NA,10,-2.378130311,0.004186679
S10,NA,NA,11,-2.705565013,0.001969858
S11,NA,NA,12,-3.032999715,0.00092683
S12,NA,NA,13,-3.360434417,0.000436079
S13,NA,NA,14,-3.687869118,0.000205178
S14,NA,NA,15,-4.01530382,9.65375293128269e-05
S15,NA,NA,16,-4.342738522,4.54215005843241e-05
S16,NA,NA,17,-4.670173224,2.13710950551293e-05
S17,NA,NA,18,-4.997607926,1.00552315088638e-05
