"Sample","Dilution","Count","CFU_Count","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"AM_10925_1","N2",33,66000,"33.856787796391274",0.113702972616015,309234.025943138,"20250109","AM"
"AM_10925_1","N2",33,66000,"35.64413126",0.043364205,117936.122384937,"20250109","AM"
"AM_10925_1","N2",33,66000,"34.29085478848701",0.08997099,244690.976987448,"20250109","AM"
"AM_10925_1","N2.1",33,66000,"33.856787796391274",0.113702972616015,309234.025943138,"20250109","AM"
"AM_10925_1","N2.1",33,66000,"35.64413126",0.043364205,117936.122384937,"20250109","AM"
"AM_10925_1","N2.1",33,66000,"34.29085478848701",0.08997099,244690.976987448,"20250109","AM"
"AM_10925_1","N2.2",28,56000,"33.856787796391274",0.113702972616015,309234.025943138,"20250109","AM"
"AM_10925_1","N2.2",28,56000,"35.64413126",0.043364205,117936.122384937,"20250109","AM"
"AM_10925_1","N2.2",28,56000,"34.29085478848701",0.08997099,244690.976987448,"20250109","AM"
"AM_10925_2","N2",15,30000,"34.694419819619625",0.072373154,196830.753556485,"20250109","AM"
"AM_10925_2","N2",15,30000,"34.99624111419348",0.061501176,167262.612552301,"20250109","AM"
"AM_10925_2","N2",15,30000,"35.27120755892874",0.053024847,144209.834937238,"20250109","AM"
"AM_10925_2","N2.1",21,42000,"34.694419819619625",0.072373154,196830.753556485,"20250109","AM"
"AM_10925_2","N2.1",21,42000,"34.99624111419348",0.061501176,167262.612552301,"20250109","AM"
"AM_10925_2","N2.1",21,42000,"35.27120755892874",0.053024847,144209.834937238,"20250109","AM"
"AM_10925_2","N2.2",NA,NA,"34.694419819619625",0.072373154,196830.753556485,"20250109","AM"
"AM_10925_2","N2.2",NA,NA,"34.99624111419348",0.061501176,167262.612552301,"20250109","AM"
"AM_10925_2","N2.2",NA,NA,"35.27120755892874",0.053024847,144209.834937238,"20250109","AM"
"AM_10925_3","N2",25,50000,"34.95228440086227",0.062976596,171275.261087866,"20250109","AM"
"AM_10925_3","N2",25,50000,"35.38782727593863",0.049792528,135419.009205021,"20250109","AM"
"AM_10925_3","N2",25,50000,"35.49599689797827",0.046970821,127744.910669456,"20250109","AM"
"AM_10925_3","N2.1",22,44000,"34.95228440086227",0.062976596,171275.261087866,"20250109","AM"
"AM_10925_3","N2.1",22,44000,"35.38782727593863",0.049792528,135419.009205021,"20250109","AM"
"AM_10925_3","N2.1",22,44000,"35.49599689797827",0.046970821,127744.910669456,"20250109","AM"
"AM_10925_3","N2.2",30,60000,"34.95228440086227",0.062976596,171275.261087866,"20250109","AM"
"AM_10925_3","N2.2",30,60000,"35.38782727593863",0.049792528,135419.009205021,"20250109","AM"
"AM_10925_3","N2.2",30,60000,"35.49599689797827",0.046970821,127744.910669456,"20250109","AM"
"AM_10925_4","N2",33,66000,"37.93195789190253",0.0126259861471575,34338.4560487548,"20250109","AM"
"AM_10925_4","N2",33,66000,"38.35836550762806",0.0100320573491527,27283.8379788671,"20250109","AM"
"AM_10925_4","N2",33,66000,"35.10723088921959",0.0579277751120077,157544.158254414,"20250109","AM"
"AM_10925_4","N2.1",36,72000,"37.93195789190253",0.0126259861471575,34338.4560487548,"20250109","AM"
"AM_10925_4","N2.1",36,72000,"38.35836550762806",0.0100320573491527,27283.8379788671,"20250109","AM"
"AM_10925_4","N2.1",36,72000,"35.10723088921959",0.0579277751120077,157544.158254414,"20250109","AM"
"AM_10925_4","N2.2",NA,NA,"37.93195789190253",0.0126259861471575,34338.4560487548,"20250109","AM"
"AM_10925_4","N2.2",NA,NA,"38.35836550762806",0.0100320573491527,27283.8379788671,"20250109","AM"
"AM_10925_4","N2.2",NA,NA,"35.10723088921959",0.0579277751120077,157544.158254414,"20250109","AM"
"AM_10925_5","N2",25,50000,"35.362108579039315",0.050487996,137310.449372385,"20250109","AM"
"AM_10925_5","N2",25,50000,"34.46351415905788",0.081971214,222934.264016736,"20250109","AM"
"AM_10925_5","N2",25,50000,"34.63766101396472",0.07462285,202949.173640167,"20250109","AM"
"AM_10925_5","N2.1",26,52000,"35.362108579039315",0.050487996,137310.449372385,"20250109","AM"
"AM_10925_5","N2.1",26,52000,"34.46351415905788",0.081971214,222934.264016736,"20250109","AM"
"AM_10925_5","N2.1",26,52000,"34.63766101396472",0.07462285,202949.173640167,"20250109","AM"
"AM_10925_5","N2.2",27,54000,"35.362108579039315",0.050487996,137310.449372385,"20250109","AM"
"AM_10925_5","N2.2",27,54000,"34.46351415905788",0.081971214,222934.264016736,"20250109","AM"
"AM_10925_5","N2.2",27,54000,"34.63766101396472",0.07462285,202949.173640167,"20250109","AM"
