Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,FALSE,H37Rv_Input,atpe,VIC,Unknown,20.87514239514531,133.3562567306836
A2,FALSE,10_BDQ_res_Input,atpe,VIC,Unknown,19.554081648053767,270.54332674153824
A3,FALSE,50_BDQ_res_Input,atpe,VIC,Unknown,20.64955482,150.478905
A4,FALSE,PBS_Input,atpe,VIC,Unknown,Undetermined,
A5,FALSE,H37Rv_Lung,atpe,VIC,Unknown,39.35010058740589,0.006737697
A6,FALSE,10_BDQ_res_Lung,atpe,VIC,Unknown,Undetermined,
A7,FALSE,50_BDQ_res_Lung,atpe,VIC,Unknown,Undetermined,
A8,FALSE,H37Rv_Spln,atpe,VIC,Unknown,35.01136951834201,0.068788956
A9,FALSE,10_BDQ_res_Spln,atpe,VIC,Unknown,Undetermined,
A10,FALSE,50_BDQ_res_Spln,atpe,VIC,Unknown,36.780711674860726,0.026671276181630198
B1,FALSE,H37Rv_Input,atpe,VIC,Unknown,20.066640285472644,205.6066432967858
B2,FALSE,10_BDQ_res_Input,atpe,VIC,Unknown,20.101730243902054,201.77933549220427
B3,FALSE,50_BDQ_res_Input,atpe,VIC,Unknown,20.126489617735416,199.1217468341808
B4,FALSE,PBS_Input,atpe,VIC,Unknown,Undetermined,
B5,FALSE,H37Rv_Lung,atpe,VIC,Unknown,Undetermined,
B6,FALSE,10_BDQ_res_Lung,atpe,VIC,Unknown,Undetermined,
B7,FALSE,50_BDQ_res_Lung,atpe,VIC,Unknown,Undetermined,
B8,FALSE,H37Rv_Spln,atpe,VIC,Unknown,34.99578931208298,0.06936526
B9,FALSE,10_BDQ_res_Spln,atpe,VIC,Unknown,38.14035500933265,0.012877977804746225
B10,FALSE,50_BDQ_res_Spln,atpe,VIC,Unknown,38.30762347852908,0.011774651
C1,FALSE,H37Rv_Input,atpe,VIC,Unknown,20.082593927009498,203.8576407103177
C2,FALSE,10_BDQ_res_Input,atpe,VIC,Unknown,20.30746357291538,180.73061532967856
C3,FALSE,50_BDQ_res_Input,atpe,VIC,Unknown,20.248427741393108,186.53528300179534
C4,FALSE,PBS_Input,atpe,VIC,Unknown,Undetermined,
C5,FALSE,H37Rv_Lung,atpe,VIC,Unknown,Undetermined,
C6,FALSE,10_BDQ_res_Lung,atpe,VIC,Unknown,Undetermined,
C7,FALSE,50_BDQ_res_Lung,atpe,VIC,Unknown,Undetermined,
C8,FALSE,H37Rv_Spln,atpe,VIC,Unknown,34.57589815976597,0.08685426
C9,FALSE,10_BDQ_res_Spln,atpe,VIC,Unknown,39.56790512790266,0.005995968
C10,FALSE,50_BDQ_res_Spln,atpe,VIC,Unknown,38.09095247435933,0.013223202046369724
D1,FALSE,DNASD_4,atpe,VIC,Standard,18.323614141586695,589.3353141
D2,FALSE,DNASD_4,atpe,VIC,Standard,18.346637121556633,589.3353141
D3,FALSE,DNASD_4,atpe,VIC,Standard,18.499292368210256,589.3353141
D4,FALSE,DNASD_9,atpe,VIC,Standard,25.723458896154128,6.48996
D5,FALSE,DNASD_9,atpe,VIC,Standard,25.747525101991066,6.48996
D6,FALSE,DNASD_9,atpe,VIC,Standard,25.73420024513669,6.48996
D7,FALSE,DNASD_13,atpe,VIC,Standard,32.48803188573392,0.17609
D8,FALSE,DNASD_13,atpe,VIC,Standard,30.832072777615643,0.17609
D9,FALSE,DNASD_13,atpe,VIC,Standard,32.833802217748755,0.17609
D10,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
D11,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
D12,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
E1,FALSE,DNASD_6,atpe,VIC,Standard,21.20312016887508,97.07655752
E2,FALSE,DNASD_6,atpe,VIC,Standard,21.359142757399162,97.07655752
E3,FALSE,DNASD_6,atpe,VIC,Standard,21.314484972200212,97.07655752
E4,FALSE,DNASD_12,atpe,VIC,Standard,32.620741302959445,0.43388
E5,FALSE,DNASD_12,atpe,VIC,Standard,31.04518364,0.43388
E6,FALSE,DNASD_12,atpe,VIC,Standard,36.56510958818845,0.43388
E7,FALSE,DNASD_15,atpe,VIC,Standard,36.70358925907061,0.029
E8,FALSE,DNASD_15,atpe,VIC,Standard,36.65812414929779,0.029
E9,FALSE,DNASD_15,atpe,VIC,Standard,Undetermined,0.029
E10,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
E11,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
E12,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
