Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,FALSE,36_1,atpe,VIC,Unknown,31.55061227,0.86172787
A2,FALSE,36_2,atpe,VIC,Unknown,31.004816226021376,1.1970654482673373
A3,FALSE,36_3,atpe,VIC,Unknown,31.960491724621782,0.6732402511482898
A4,FALSE,36_4,atpe,VIC,Unknown,30.081863958034937,2.086927052217162
A5,FALSE,36_5,atpe,VIC,Unknown,34.62888899592683,0.13498210228737548
A6,FALSE,36_6,atpe,VIC,Unknown,32.57839273559604,0.46404911677206145
A7,FALSE,36_7,atpe,VIC,Unknown,31.63244973883853,0.8202879457605529
A8,FALSE,DNASD_4,atpe,VIC,Standard,20.66476336614606,589.3353141
A9,FALSE,DNASD_4,atpe,VIC,Standard,21.18358971508254,589.3353141
A10,FALSE,DNASD_4,atpe,VIC,Standard,20.996465787450354,589.3353141
B1,FALSE,36_1,atpe,VIC,Unknown,30.88113365,1.2896322811668215
B2,FALSE,36_2,atpe,VIC,Unknown,30.911332059729894,1.266390922227983
B3,FALSE,36_3,atpe,VIC,Unknown,31.544312947897716,0.8650031074007071
B4,FALSE,36_4,atpe,VIC,Unknown,30.16313908067682,1.9872409811745881
B5,FALSE,36_5,atpe,VIC,Unknown,33.99562393205436,0.19765173565046376
B6,FALSE,36_6,atpe,VIC,Unknown,32.01747230060124,0.6505300256516469
B7,FALSE,36_7,atpe,VIC,Unknown,31.90171359980389,0.6974979442138823
B8,FALSE,DNASD_6,atpe,VIC,Standard,23.668733541195863,97.07655752
B9,FALSE,DNASD_6,atpe,VIC,Standard,23.501974811965546,97.07655752
B10,FALSE,DNASD_6,atpe,VIC,Standard,23.28952174533574,97.07655752
C1,FALSE,36_1,atpe,VIC,Unknown,31.033206657279003,1.1767728739272003
C2,FALSE,36_2,atpe,VIC,Unknown,30.986631013143004,1.2102471394847547
C3,FALSE,36_3,atpe,VIC,Unknown,32.10309995011937,0.6178346348536938
C4,FALSE,36_4,atpe,VIC,Unknown,30.124241172026835,2.034341750334803
C5,FALSE,36_5,atpe,VIC,Unknown,34.21328671834834,0.17336962277246354
C6,FALSE,36_6,atpe,VIC,Unknown,32.13339799581449,0.6066638058821674
C7,FALSE,36_7,atpe,VIC,Unknown,32.047116725726106,0.6390195271619717
C8,FALSE,DNASD_9,atpe,VIC,Standard,27.667516394021604,6.489962981
C9,FALSE,DNASD_9,atpe,VIC,Standard,27.390550486639654,6.489962981
C10,FALSE,DNASD_9,atpe,VIC,Standard,27.43502454556414,6.489962981
D1,FALSE,136_1,atpe,VIC,Unknown,31.80931799534668,0.7374084706268339
D2,FALSE,136_2,atpe,VIC,Unknown,31.22140743308148,1.0506801533807932
D3,FALSE,136_3,atpe,VIC,Unknown,31.98479078712292,0.6634602148568302
D4,FALSE,136_4,atpe,VIC,Unknown,31.68134288,0.7964871889278526
D5,FALSE,136_5,atpe,VIC,Unknown,32.19297456743304,0.5852836612861407
D6,FALSE,136_6,atpe,VIC,Unknown,31.867122926685525,0.7121800321946193
D7,FALSE,136_7,atpe,VIC,Unknown,31.74690658276586,0.7656516670395027
D8,FALSE,DNASD_12,atpe,VIC,Standard,33.400835899825466,0.43388044
D9,FALSE,DNASD_12,atpe,VIC,Standard,34.28702581092456,0.43388044
D10,FALSE,DNASD_12,atpe,VIC,Standard,33.94579354634993,0.43388044
E1,FALSE,136_1,atpe,VIC,Unknown,31.627418958895042,0.8227768849559497
E2,FALSE,136_2,atpe,VIC,Unknown,31.90804094814198,0.6948452199840452
E3,FALSE,136_3,atpe,VIC,Unknown,31.85045799814423,0.7193634138642727
E4,FALSE,136_4,atpe,VIC,Unknown,32.09821669822597,0.6196542297596425
E5,FALSE,136_5,atpe,VIC,Unknown,32.11636228827737,0.6129197451394054
E6,FALSE,136_6,atpe,VIC,Unknown,31.189673835472817,1.0709523519840114
E7,FALSE,136_7,atpe,VIC,Unknown,32.956819337484475,0.36947927078233034
E8,FALSE,DNASD_15,atpe,VIC,Standard,36.296076687995864,0.029006673
E9,TRUE,DNASD_15,atpe,VIC,Standard,Undetermined,0.029006673
E10,FALSE,DNASD_15,atpe,VIC,Standard,36.55092093088473,0.029006673
F1,FALSE,136_1,atpe,VIC,Unknown,31.659204474733542,0.8071771948444241
F2,FALSE,136_2,atpe,VIC,Unknown,31.40703939115884,0.9395507825776632
F3,FALSE,136_3,atpe,VIC,Unknown,31.681733969303444,0.7962996202549641
F4,FALSE,136_4,atpe,VIC,Unknown,31.770524635120765,0.7548386962432175
F5,FALSE,136_5,atpe,VIC,Unknown,32.603682428425074,0.45703522343441055
F6,FALSE,136_6,atpe,VIC,Unknown,31.67086516710765,0.8015288157561116
F7,FALSE,136_7,atpe,VIC,Unknown,32.26443404454862,0.5606306730961317
F8,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
F9,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
F10,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
