"Well","Omit","Sample","Target","Dye","Task","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"A1",FALSE,"AM_21425_1","atpe","VIC","Unknown","36.20871379532511",0.0319810022717702,86977.6212412161,"20241219","AM"
"A2",FALSE,"AM_21425_1","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"A3",FALSE,"AM_21425_1","atpe","VIC","Unknown","35.72666180084143",0.041476364,112801.826778243,"20241219","AM"
"B4",FALSE,"AM_21425_10","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"B5",FALSE,"AM_21425_10","atpe","VIC","Unknown","34.67664050056885",0.073070463,198727.200627615,"20241219","AM"
"B6",FALSE,"AM_21425_10","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"C4",FALSE,"AM_21425_11","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"C5",FALSE,"AM_21425_11","atpe","VIC","Unknown","38.90967632",0.007451767,20266.3119246862,"20241219","AM"
"C6",FALSE,"AM_21425_11","atpe","VIC","Unknown","39.07442741800963",0.006818211,18543.2516736402,"20241219","AM"
"D4",FALSE,"AM_21425_12","atpe","VIC","Unknown","35.630916137103284",0.0436743748882408,118779.680658395,"20241219","AM"
"D5",FALSE,"AM_21425_12","atpe","VIC","Unknown","35.13255106427597",0.057142105,155407.398535565,"20241219","AM"
"D6",FALSE,"AM_21425_12","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"E4",FALSE,"AM_21425_13","atpe","VIC","Unknown","36.99845300164209",0.020888894,56810.79958159,"20241219","AM"
"E5",FALSE,"AM_21425_13","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"E6",FALSE,"AM_21425_13","atpe","VIC","Unknown","35.36517826842508",0.0504044797520282,137083.313133131,"20241219","AM"
"F4",FALSE,"AM_21425_14","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"F5",FALSE,"AM_21425_14","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"F6",FALSE,"AM_21425_14","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"G4",FALSE,"AM_21425_15","atpe","VIC","Unknown","34.15664809582172",0.096724625,263058.603556485,"20241219","AM"
"G5",FALSE,"AM_21425_15","atpe","VIC","Unknown","36.25495954988965",0.0311932165863796,84835.1078709069,"20241219","AM"
"G6",FALSE,"AM_21425_15","atpe","VIC","Unknown","33.857259706957024",0.113674037508701,309155.332136635,"20241219","AM"
"H4",FALSE,"AM_21425_16","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"H5",FALSE,"AM_21425_16","atpe","VIC","Unknown","38.986433095912425",0.007149586,19444.4807531381,"20241219","AM"
"H6",FALSE,"AM_21425_16","atpe","VIC","Unknown","36.097530581600154",0.033957363,92352.6608786611,"20241219","AM"
"B1",FALSE,"AM_21425_2","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"B2",FALSE,"AM_21425_2","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"B3",FALSE,"AM_21425_2","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"C1",FALSE,"AM_21425_3","atpe","VIC","Unknown","34.863038523953534",0.066081941,179720.760041841,"20241219","AM"
"C2",FALSE,"AM_21425_3","atpe","VIC","Unknown","35.80539823253133",0.039751968,108112.046861925,"20241219","AM"
"C3",FALSE,"AM_21425_3","atpe","VIC","Unknown","35.88865522253283",0.0380064908859208,103364.933371751,"20241219","AM"
"D1",FALSE,"AM_21425_4","atpe","VIC","Unknown","36.506832983800834",0.0272310958187153,74059.4656157528,"20241219","AM"
"D2",FALSE,"AM_21425_4","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"D3",FALSE,"AM_21425_4","atpe","VIC","Unknown","38.58848372049722",0.00886116,24099.3891213389,"20241219","AM"
"E1",FALSE,"AM_21425_5","atpe","VIC","Unknown","39.78370711353563",0.004650926,12648.9619246862,"20241219","AM"
"E2",FALSE,"AM_21425_5","atpe","VIC","Unknown","37.63643493628851",0.0148075823948277,40271.6676009958,"20241219","AM"
"E3",FALSE,"AM_21425_5","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"F1",FALSE,"AM_21425_6","atpe","VIC","Unknown","35.540675737164605",0.045852524,124703.517154812,"20241219","AM"
"F2",FALSE,"AM_21425_6","atpe","VIC","Unknown","35.35100443085312",0.050791262,138135.231380753,"20241219","AM"
"F3",FALSE,"AM_21425_6","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"G1",FALSE,"AM_21425_7","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"G2",FALSE,"AM_21425_7","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"G3",FALSE,"AM_21425_7","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"H1",FALSE,"AM_21425_8","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"H2",FALSE,"AM_21425_8","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"H3",FALSE,"AM_21425_8","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"A4",FALSE,"AM_21425_9","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"A5",FALSE,"AM_21425_9","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
"A6",FALSE,"AM_21425_9","atpe","VIC","Unknown","Undetermined",0,0,"20241219","AM"
