"Well","Omit","Sample","Target","Dye","Task","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"D1",FALSE,"Spleen_1","atpe","VIC","Unknown","29.011710759979096",0.750058337181816,78457.9850608594,"20241612","AN"
"D2",FALSE,"Spleen_2","atpe","VIC","Unknown","29.19952236165699",0.672534446,70348.7914225941,"20241612","AN"
"D3",FALSE,"Spleen_3","atpe","VIC","Unknown","28.356470884592547",1.09748062146587,114799.228186806,"20241612","AN"
"D4",FALSE,"Spleen_4","atpe","VIC","Unknown","28.745962667388632",0.875260079224491,91554.4015925199,"20241612","AN"
"D5",FALSE,"Spleen_5","atpe","VIC","Unknown","32.48113445979196",0.099963152,10456.3966527197,"20241612","AN"
"D6",FALSE,"Spleen_6","atpe","VIC","Unknown","28.300918817696605",1.13347346626005,118564.170110884,"20241612","AN"
"D7",FALSE,"Spleen_7","atpe","VIC","Unknown","28.73256248365101",0.882099703531752,92269.8434656645,"20241612","AN"
"D8",FALSE,"Spleen_8","atpe","VIC","Unknown","31.849986313868108",0.144232779846753,15087.1108626311,"20241612","AN"
"D9",FALSE,"Spleen_9","atpe","VIC","Unknown","29.58480041022792",0.537672495443233,56241.89282879,"20241612","AN"
"D10",FALSE,"Spleen_10","atpe","VIC","Unknown","29.964929018465284",0.431141861618013,45098.5210897503,"20241612","AN"
"E1",FALSE,"Spleen_1","atpe","VIC","Unknown","29.10937664138735",0.708689840483818,74130.7364522822,"20241612","AN"
"E2",FALSE,"Spleen_2","atpe","VIC","Unknown","29.760871151171266",0.485399425532049,50773.998486616,"20241612","AN"
"E3",FALSE,"Spleen_3","atpe","VIC","Unknown","27.931741541813523",1.40457915596995,146922.505854597,"20241612","AN"
"E4",FALSE,"Spleen_4","atpe","VIC","Unknown","29.12110245569623",0.703879077259247,73627.5185417622,"20241612","AN"
"E5",FALSE,"Spleen_5","atpe","VIC","Unknown","32.99849288342335",0.074015455,7742.20240585774,"20241612","AN"
"E6",FALSE,"Spleen_6","atpe","VIC","Unknown","28.35333721994793",1.09948019653197,115008.388758575,"20241612","AN"
"E7",FALSE,"Spleen_7","atpe","VIC","Unknown","28.544495144569545",0.983926601,102921.192573222,"20241612","AN"
"E8",FALSE,"Spleen_8","atpe","VIC","Unknown","31.57387092030409",0.169325154790057,17711.8362751106,"20241612","AN"
"E9",FALSE,"Spleen_9","atpe","VIC","Unknown","28.856163384467933",0.820986539346605,85877.2530697285,"20241612","AN"
"E10",FALSE,"Spleen_10","atpe","VIC","Unknown","30.347536517380384",0.345220993343271,36110.9825672878,"20241612","AN"
"F1",FALSE,"Spleen_1","atpe","VIC","Unknown","29.60881480991884",0.530224199265895,55462.782349989,"20241612","AN"
"F2",FALSE,"Spleen_2","atpe","VIC","Unknown","30.433519041977732",0.328402006439943,34351.6743138016,"20241612","AN"
"F3",FALSE,"Spleen_3","atpe","VIC","Unknown","28.30243865781268",1.13247321164353,118459.540966896,"20241612","AN"
"F4",FALSE,"Spleen_4","atpe","VIC","Unknown","28.935108914443383",0.784187492325546,82027.9803687809,"20241612","AN"
"F5",FALSE,"Spleen_5","atpe","VIC","Unknown","32.41659197157644",0.103782113983392,10855.8696635348,"20241612","AN"
"F6",FALSE,"Spleen_6","atpe","VIC","Unknown","28.286318262735335",1.14312767562399,119574.024646861,"20241612","AN"
"F7",FALSE,"Spleen_7","atpe","VIC","Unknown","28.632854910998986",0.934698580822464,97771.8180776636,"20241612","AN"
"F8",FALSE,"Spleen_8","atpe","VIC","Unknown","31.64101258707953",0.162848287748056,17034.3397226,"20241612","AN"
"F9",FALSE,"Spleen_9","atpe","VIC","Unknown","29.465860102388625",0.576134259142967,60265.0898685112,"20241612","AN"
"F10",FALSE,"Spleen_10","atpe","VIC","Unknown","30.667637937020466",0.286644119495802,29983.6945079291,"20241612","AN"
