"Well","Omit","Sample","Target","Dye","Task","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"E1",FALSE,"mLN_B1","atpe","VIC","Unknown","29.778624727733607",3.38043857131509,353602.361016223,"20241211","WZ"
"E2",FALSE,"mLN_B1","atpe","VIC","Unknown","29.510409321164204",3.90873796076873,408863.803427691,"20241211","WZ"
"E3",FALSE,"mLN_B1","atpe","VIC","Unknown","29.76867390198087",3.39869906949757,355512.454968365,"20241211","WZ"
"F1",FALSE,"mLN_B2","atpe","VIC","Unknown","33.768756239276385",0.389765044503933,40770.4021447629,"20241211","WZ"
"F2",FALSE,"mLN_B2","atpe","VIC","Unknown","34.612814034183714",0.246800372191512,25815.9385137565,"20241211","WZ"
"F3",FALSE,"mLN_B2","atpe","VIC","Unknown","34.66037269122208",0.240526922409654,25159.7199173278,"20241211","WZ"
"G1",FALSE,"mLN_B3","atpe","VIC","Unknown","33.86706104724742",0.369563612595048,38657.2816522017,"20241211","WZ"
"G2",FALSE,"mLN_B3","atpe","VIC","Unknown","32.93226897796376",0.613027505456125,64124.216051896,"20241211","WZ"
"G3",FALSE,"mLN_B3","atpe","VIC","Unknown","31.865427634331873",1.0922410356826,114251.154360105,"20241211","WZ"
"H1",FALSE,"mLN_B4","atpe","VIC","Unknown","31.815885645435827",1.12193302257147,117357.010729234,"20241211","WZ"
"H2",FALSE,"mLN_B4","atpe","VIC","Unknown","32.02603867527689",1.00127921469234,104736.319528487,"20241211","WZ"
"H3",FALSE,"mLN_B4","atpe","VIC","Unknown","32.21274123896063",0.905017976152815,94667.1523172401,"20241211","WZ"
"F7",FALSE,"mLN_S1","atpe","VIC","Unknown","30.910286679033838",0.557077855045022,58271.7421595211,"20241211","WZ"
"F8",FALSE,"mLN_S1","atpe","VIC","Unknown","30.959200745986045",0.542574026502114,56754.6052826478,"20241211","WZ"
"F9",FALSE,"mLN_S1","atpe","VIC","Unknown","31.11700773005515",0.498306631654625,52124.1246500654,"20241211","WZ"
"B1",FALSE,"mLN_S2","atpe","VIC","Unknown","28.711260780133983",6.02468649384051,630197.331991685,"20241211","WZ"
"B2",FALSE,"mLN_S2","atpe","VIC","Unknown","28.53832439179525",6.61600323028373,692050.547100808,"20241211","WZ"
"B3",FALSE,"mLN_S2","atpe","VIC","Unknown","28.85941960629674",5.56030944256679,581622.326628326,"20241211","WZ"
"C1",FALSE,"mLN_S3","atpe","VIC","Unknown","28.43797869260777",6.98536738193356,730686.964637401,"20241211","WZ"
"C2",FALSE,"mLN_S3","atpe","VIC","Unknown","27.910735378842602",9.29300304315767,972071.448029045,"20241211","WZ"
"C3",FALSE,"mLN_S3","atpe","VIC","Unknown","28.48091421427258",6.82486617157679,713898.135102175,"20241211","WZ"
"G7",FALSE,"mLN_S5","atpe","VIC","Unknown","26.033561704388468",7.72976972758592,808553.318785137,"20241211","WZ"
"G8",FALSE,"mLN_S5","atpe","VIC","Unknown","25.86570350152403",8.4621970770706,885167.058270983,"20241211","WZ"
"G9",FALSE,"mLN_S5","atpe","VIC","Unknown","Undetermined",0,0,"20241211","WZ"
"H7",FALSE,"Spleen_B1","atpe","VIC","Unknown","29.072323951359195",1.50111035927242,157019.912057784,"20241211","WZ"
"H8",FALSE,"Spleen_B1","atpe","VIC","Unknown","28.815194676364605",1.72440277690251,180376.859508631,"20241211","WZ"
"H9",FALSE,"Spleen_B1","atpe","VIC","Unknown","28.27413427299924",2.30870561548207,241496.403293104,"20241211","WZ"
"G4",FALSE,"Spleen_B2","atpe","VIC","Unknown","32.479179093962045",0.783450640580244,81950.9038263854,"20241211","WZ"
"G5",FALSE,"Spleen_B2","atpe","VIC","Unknown","31.74815854735352",1.16383416923832,121739.975861749,"20241211","WZ"
