"Well","Omit","Sample","Target","Dye","Task","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"A1",FALSE,"zw134_1","atpe","VIC","Unknown","32.61206068666421",0.149465224205427,15634.437678392,"20250505","WZ"
"A2",FALSE,"zw134_1","atpe","VIC","Unknown","33.03038155584832",0.118249287330702,12369.172314927,"20250505","WZ"
"A3",FALSE,"zw134_1","atpe","VIC","Unknown","11.509844899870302",20272.2162676624,2120524714.19063,"20250505","WZ"
"B1",FALSE,"zw134_2","atpe","VIC","Unknown","31.50878876210875",0.277250085875843,29001.0550079334,"20250505","WZ"
"B2",FALSE,"zw134_2","atpe","VIC","Unknown","32.129458029622285",0.195846599478404,20486.0459705443,"20250505","WZ"
"B3",FALSE,"zw134_2","atpe","VIC","Unknown","32.14641551346921",0.193995534095569,20292.4198844737,"20250505","WZ"
"C1",FALSE,"zw134_3","atpe","VIC","Unknown","32.831689587591754",0.132167070537447,13825.007378394,"20250505","WZ"
"C2",FALSE,"zw134_3","atpe","VIC","Unknown","32.37007939062477",0.171156530521499,17903.4027742154,"20250505","WZ"
"C3",FALSE,"zw134_3","atpe","VIC","Unknown","32.80042644206341",0.134501432171211,14069.1874656078,"20250505","WZ"
"D1",FALSE,"zw134_4","atpe","VIC","Unknown","32.95145685806685",0.123593078158903,12928.1462509313,"20250505","WZ"
"D2",FALSE,"zw134_4","atpe","VIC","Unknown","13.392358794084117",7063.93823365029,738905672.975972,"20250505","WZ"
"D3",FALSE,"zw134_4","atpe","VIC","Unknown","31.999401857336743",0.210643255784889,22033.8133666202,"20250505","WZ"
"E1",FALSE,"zw134_5","atpe","VIC","Unknown","34.612459545274234",0.0487544777697544,5099.84077089481,"20250505","WZ"
"E2",FALSE,"zw134_5","atpe","VIC","Unknown","33.37314698513552",0.097596237,10208.8114016736,"20250505","WZ"
"E3",FALSE,"zw134_5","atpe","VIC","Unknown","32.29353907270496",0.178652532034379,18687.5033508765,"20250505","WZ"
"F1",FALSE,"zw134_6","atpe","VIC","Unknown","32.55954820994383",0.153925986016571,16101.0445624028,"20250505","WZ"
"F2",FALSE,"zw134_6","atpe","VIC","Unknown","32.642047512379506",0.146976172173982,15374.0765872366,"20250505","WZ"
"F3",FALSE,"zw134_6","atpe","VIC","Unknown","31.859390997108008",0.227824384166699,23831.0025278974,"20250505","WZ"
"G1",FALSE,"zw134_7","atpe","VIC","Unknown","30.742729750811087",0.425782895674842,44537.9597986236,"20250505","WZ"
"G2",FALSE,"zw134_7","atpe","VIC","Unknown","32.403420168161816",0.167990421532416,17572.2198255665,"20250505","WZ"
"G3",FALSE,"zw134_7","atpe","VIC","Unknown","32.46327395095334",0.162452808079463,16992.9715564292,"20250505","WZ"
"H1",FALSE,"zw134_8","atpe","VIC","Unknown","33.27630095052895",0.103035625882391,10777.7851341413,"20250505","WZ"
"H2",FALSE,"zw134_8","atpe","VIC","Unknown","32.40689539605489",0.16766379602572,17538.0539775858,"20250505","WZ"
"H3",FALSE,"zw134_8","atpe","VIC","Unknown","32.221264333216965",0.186031902484174,19459.4040255412,"20250505","WZ"
