Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,true,mLN_S1,atpe,VIC,Unknown,Undetermined,
A2,true,mLN_S1,atpe,VIC,Unknown,Undetermined,
A3,true,mLN_S1,atpe,VIC,Unknown,Undetermined,
A4,false,Spleen_S1,atpe,VIC,Unknown,32.16090724557793,0.7137399009910685
A5,false,Spleen_S1,atpe,VIC,Unknown,32.56111790276621,0.570499236626894
A6,false,Spleen_S1,atpe,VIC,Unknown,31.975144619450965,0.7919466854544829
A7,false,Spleen_B4,atpe,VIC,Unknown,31.413540175133413,1.0844590124152969
A8,false,DNA_4,atpe,VIC,Standard,20.24476311662218,589.3353141
A9,false,DNA_4,atpe,VIC,Standard,20.264844623093893,589.3353141
A10,false,DNA_4,atpe,VIC,Standard,20.277623939269894,589.3353141
B1,false,mLN_S2,atpe,VIC,Unknown,28.711260780133983,4.921468508133303
B2,false,mLN_S2,atpe,VIC,Unknown,28.53832439179525,5.421666795650739
B3,false,mLN_S2,atpe,VIC,Unknown,28.85941960629674,4.529806314794879
B4,false,Spleen_S2,atpe,VIC,Unknown,31.61435102203866,0.9691682710066764
B5,false,Spleen_S2,atpe,VIC,Unknown,31.720094045792507,0.9134709144366633
B6,false,Spleen_S2,atpe,VIC,Unknown,31.716115061361016,0.9155075962361373
B7,false,Spleen_B4,atpe,VIC,Unknown,31.433453846733677,1.07243861307092
B8,false,DNA_6,atpe,VIC,Standard,23.091931179531024,97.07655752
B9,false,DNA_6,atpe,VIC,Standard,22.989372511016164,97.07655752
B10,false,DNA_6,atpe,VIC,Standard,22.957901421104253,97.07655752
C1,false,mLN_S3,atpe,VIC,Unknown,28.43797869260777,5.734892513909217
C2,false,mLN_S3,atpe,VIC,Unknown,27.910735378842602,7.703530912590169
C3,false,mLN_S3,atpe,VIC,Unknown,28.48091421427258,5.598714650000072
C4,false,Spleen_S3,atpe,VIC,Unknown,32.54417573696627,0.5759349597120675
C5,false,Spleen_S3,atpe,VIC,Unknown,32.78788103564659,0.5024958980200811
C6,false,Spleen_S3,atpe,VIC,Unknown,32.28573131699248,0.6655753207460751
C7,false,Spleen_B4,atpe,VIC,Unknown,31.608957004312472,0.9720987582629593
C8,false,DNA_9,atpe,VIC,Standard,28.04983993218748,6.489962981
C9,false,DNA_9,atpe,VIC,Standard,28.01946837596671,6.489962981
C10,false,DNA_9,atpe,VIC,Standard,28.15850323792641,6.489962981
D1,true,mLN_S5,atpe,VIC,Unknown,Undetermined,
D2,true,mLN_S5,atpe,VIC,Unknown,Undetermined,
D3,true,mLN_S5,atpe,VIC,Unknown,Undetermined,
D4,false,Spleen_S4,atpe,VIC,Unknown,30.392343554475403,1.9206576483019977
D5,false,Spleen_S4,atpe,VIC,Unknown,29.76847787189856,2.7233401159181367
D6,false,Spleen_S4,atpe,VIC,Unknown,30.337461742305663,1.9805730458922324
D7,false,Water,atpe,VIC,Negative Control,Undetermined,
D8,false,DNA_13,atpe,VIC,Standard,36.841247499437415,0.176094594
D9,false,DNA_13,atpe,VIC,Standard,35.283643207458795,0.176094594
D10,false,DNA_13,atpe,VIC,Standard,36.46765274385531,0.176094594
E1,false,mLN_B1,atpe,VIC,Unknown,29.778624727733607,2.7079169616855925
E2,false,mLN_B1,atpe,VIC,Unknown,29.510409321164204,3.1465474428814137
E3,false,mLN_B1,atpe,VIC,Unknown,29.76867390198087,2.7230413209393998
E4,false,Spleen_S5,atpe,VIC,Unknown,34.780842884600574,0.1646929006263467
E5,false,Spleen_S5,atpe,VIC,Unknown,33.96522395526597,0.25997943568097187
E6,false,Spleen_S5,atpe,VIC,Unknown,34.69688178300629,0.17261737191101767
E7,true,Water,atpe,VIC,Negative Control,Undetermined,
E8,false,DNA_15,atpe,VIC,Standard,35.48312565433845,0.029006673
E9,false,DNA_15,atpe,VIC,Standard,36.90752407591728,0.029006673
E10,false,DNA_15,atpe,VIC,Standard,Undetermined,0.029006673
F1,false,mLN_B2,atpe,VIC,Unknown,33.768756239276385,0.2901998640896015
F2,false,mLN_B2,atpe,VIC,Unknown,34.612814034183714,0.1809339423718259
F3,false,mLN_B2,atpe,VIC,Unknown,34.66037269122208,0.17618108714520744
F4,true,Spleen_B1,atpe,VIC,Unknown,Undetermined,
F5,true,Spleen_B1,atpe,VIC,Unknown,Undetermined,
F6,true,Spleen_B1,atpe,VIC,Unknown,Undetermined,
F7,false,Water,atpe,VIC,Negative Control,Undetermined,
G1,false,mLN_B3,atpe,VIC,Unknown,33.86706104724742,0.27466343927484965
G2,false,mLN_B3,atpe,VIC,Unknown,32.93226897796376,0.4634832949729268
G3,false,mLN_B3,atpe,VIC,Unknown,31.865427634331873,0.8421053313228347
G4,false,Spleen_B2,atpe,VIC,Unknown,32.479179093962045,0.5972733012599899
G5,false,Spleen_B2,atpe,VIC,Unknown,31.74815854735352,0.8992339297544026
G6,false,Spleen_B2,atpe,VIC,Unknown,31.6730253918737,0.9378564557707384
G7,false,Water,atpe,VIC,Negative Control,Undetermined,
H1,false,mLN_B4,atpe,VIC,Unknown,31.815885645435827,0.8657834788636194
H2,false,mLN_B4,atpe,VIC,Unknown,32.02603867527689,0.7697051669551231
H3,false,mLN_B4,atpe,VIC,Unknown,32.21274123896063,0.693329930450525
H4,false,Spleen_B3,atpe,VIC,Unknown,33.31401058662553,0.3743162764253344
H5,false,Spleen_B3,atpe,VIC,Unknown,33.39635228044726,0.3574561248067009
H6,false,Spleen_B3,atpe,VIC,Unknown,34.279006432710645,0.21810389304775427
H7,false,Water,atpe,VIC,Negative Control,Undetermined,
