Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A7,FALSE,AM_10925_1,atpe,VIC,Unknown,33.856787796391274,0.11370297261601528
A8,FALSE,AM_10925_1,atpe,VIC,Unknown,35.64413126,0.043364205
A9,FALSE,AM_10925_1,atpe,VIC,Unknown,34.29085478848701,0.08997099
B7,FALSE,AM_10925_2,atpe,VIC,Unknown,34.694419819619625,0.072373154
B8,FALSE,AM_10925_2,atpe,VIC,Unknown,34.99624111419348,0.061501176
B9,FALSE,AM_10925_2,atpe,VIC,Unknown,35.27120755892874,0.053024847
C7,FALSE,AM_10925_3,atpe,VIC,Unknown,34.95228440086227,0.062976596
C8,FALSE,AM_10925_3,atpe,VIC,Unknown,35.38782727593863,0.049792528
C9,FALSE,AM_10925_3,atpe,VIC,Unknown,35.49599689797827,0.046970821
D7,FALSE,AM_10925_4,atpe,VIC,Unknown,37.93195789190253,0.012625986147157531
D8,FALSE,AM_10925_4,atpe,VIC,Unknown,38.35836550762806,0.010032057349152655
D9,FALSE,AM_10925_4,atpe,VIC,Unknown,35.10723088921959,0.057927775112007744
E7,FALSE,AM_10925_5,atpe,VIC,Unknown,35.362108579039315,0.050487996
E8,FALSE,AM_10925_5,atpe,VIC,Unknown,34.46351415905788,0.081971214
E9,FALSE,AM_10925_5,atpe,VIC,Unknown,34.63766101396472,0.07462285
A1,FALSE,AM_21425_1,atpe,VIC,Unknown,36.20871379532511,0.031981002271770226
A2,FALSE,AM_21425_1,atpe,VIC,Unknown,Undetermined,
A3,FALSE,AM_21425_1,atpe,VIC,Unknown,35.72666180084143,0.041476364
B4,FALSE,AM_21425_10,atpe,VIC,Unknown,Undetermined,
B5,FALSE,AM_21425_10,atpe,VIC,Unknown,34.67664050056885,0.073070463
B6,FALSE,AM_21425_10,atpe,VIC,Unknown,Undetermined,
C4,FALSE,AM_21425_11,atpe,VIC,Unknown,Undetermined,
C5,FALSE,AM_21425_11,atpe,VIC,Unknown,38.90967632,0.007451767
C6,FALSE,AM_21425_11,atpe,VIC,Unknown,39.07442741800963,0.006818211
D4,FALSE,AM_21425_12,atpe,VIC,Unknown,35.630916137103284,0.043674374888240775
D5,FALSE,AM_21425_12,atpe,VIC,Unknown,35.13255106427597,0.057142105
D6,FALSE,AM_21425_12,atpe,VIC,Unknown,Undetermined,
E4,FALSE,AM_21425_13,atpe,VIC,Unknown,36.99845300164209,0.020888894
E5,FALSE,AM_21425_13,atpe,VIC,Unknown,Undetermined,
E6,FALSE,AM_21425_13,atpe,VIC,Unknown,35.36517826842508,0.050404479752028185
F4,FALSE,AM_21425_14,atpe,VIC,Unknown,Undetermined,
F5,FALSE,AM_21425_14,atpe,VIC,Unknown,Undetermined,
F6,FALSE,AM_21425_14,atpe,VIC,Unknown,Undetermined,
G4,FALSE,AM_21425_15,atpe,VIC,Unknown,34.15664809582172,0.096724625
G5,FALSE,AM_21425_15,atpe,VIC,Unknown,36.25495954988965,0.031193216586379604
G6,FALSE,AM_21425_15,atpe,VIC,Unknown,33.857259706957024,0.1136740375087011
H4,FALSE,AM_21425_16,atpe,VIC,Unknown,Undetermined,
H5,FALSE,AM_21425_16,atpe,VIC,Unknown,38.986433095912425,0.007149586
H6,FALSE,AM_21425_16,atpe,VIC,Unknown,36.097530581600154,0.033957363
B1,FALSE,AM_21425_2,atpe,VIC,Unknown,Undetermined,
B2,FALSE,AM_21425_2,atpe,VIC,Unknown,Undetermined,
B3,FALSE,AM_21425_2,atpe,VIC,Unknown,Undetermined,
C1,FALSE,AM_21425_3,atpe,VIC,Unknown,34.863038523953534,0.066081941
C2,FALSE,AM_21425_3,atpe,VIC,Unknown,35.80539823253133,0.039751968
C3,FALSE,AM_21425_3,atpe,VIC,Unknown,35.88865522253283,0.038006490885920785
D1,FALSE,AM_21425_4,atpe,VIC,Unknown,36.506832983800834,0.027231095818715263
D2,FALSE,AM_21425_4,atpe,VIC,Unknown,Undetermined,
D3,FALSE,AM_21425_4,atpe,VIC,Unknown,38.58848372049722,0.00886116
E1,FALSE,AM_21425_5,atpe,VIC,Unknown,39.78370711353563,0.004650926
E2,FALSE,AM_21425_5,atpe,VIC,Unknown,37.63643493628851,0.014807582394827686
E3,FALSE,AM_21425_5,atpe,VIC,Unknown,Undetermined,
F1,FALSE,AM_21425_6,atpe,VIC,Unknown,35.540675737164605,0.045852524
F2,FALSE,AM_21425_6,atpe,VIC,Unknown,35.35100443085312,0.050791262
F3,FALSE,AM_21425_6,atpe,VIC,Unknown,Undetermined,
G1,FALSE,AM_21425_7,atpe,VIC,Unknown,Undetermined,
G2,FALSE,AM_21425_7,atpe,VIC,Unknown,Undetermined,
G3,FALSE,AM_21425_7,atpe,VIC,Unknown,Undetermined,
H1,FALSE,AM_21425_8,atpe,VIC,Unknown,Undetermined,
H2,FALSE,AM_21425_8,atpe,VIC,Unknown,Undetermined,
H3,FALSE,AM_21425_8,atpe,VIC,Unknown,Undetermined,
A4,FALSE,AM_21425_9,atpe,VIC,Unknown,Undetermined,
A5,FALSE,AM_21425_9,atpe,VIC,Unknown,Undetermined,
A6,FALSE,AM_21425_9,atpe,VIC,Unknown,Undetermined,
D10,FALSE,DNA_13,atpe,VIC,Standard,32.28205347243001,0.176094594
D11,FALSE,DNA_13,atpe,VIC,Standard,33.75646429065553,0.176094594
D12,FALSE,DNA_13,atpe,VIC,Standard,33.88408512685041,0.176094594
E10,FALSE,DNA_15,atpe,VIC,Standard,Undetermined,0.029006673
E11,FALSE,DNA_15,atpe,VIC,Standard,Undetermined,0.029006673
E12,FALSE,DNA_15,atpe,VIC,Standard,36.081689261640534,0.029006673
A10,FALSE,DNA_4,atpe,VIC,Standard,18.42710578336414,589.3353141
A11,FALSE,DNA_4,atpe,VIC,Standard,18.157556044327478,589.3353141
A12,FALSE,DNA_4,atpe,VIC,Standard,18.459285203671598,589.3353141
B10,FALSE,DNA_6,atpe,VIC,Standard,20.99701312371033,97.07655752
B11,FALSE,DNA_6,atpe,VIC,Standard,20.806021884825107,97.07655752
