Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,FALSE,AM_91224_L_1,atpe,VIC,Unknown,34.04540596833115,0.073120848
A2,FALSE,AM_91224_L_1,atpe,VIC,Unknown,35.99896685575797,0.024446937084289664
A3,FALSE,AM_91224_L_1,atpe,VIC,Unknown,37.02625350845651,0.013740881281548552
A4,FALSE,AM_91224_S_1,atpe,VIC,Unknown,36.06322001972684,0.023581678
A5,FALSE,AM_91224_S_1,atpe,VIC,Unknown,Undetermined,
A6,FALSE,AM_91224_S_1,atpe,VIC,Unknown,Undetermined,
A7,FALSE,AM_91224_L_9,atpe,VIC,Unknown,Undetermined,
A8,FALSE,AM_91224_L_9,atpe,VIC,Unknown,35.00093323183883,0.042786754
A9,FALSE,AM_91224_L_9,atpe,VIC,Unknown,34.69996400427296,0.050654095
A10,FALSE,DNA_4,atpe,VIC,Standard,18.323668694127115,589.3353141
A11,FALSE,DNA_4,atpe,VIC,Standard,17.94143710884471,589.3353141
A12,FALSE,DNA_4,atpe,VIC,Standard,18.363152348721783,589.3353141
B1,FALSE,AM_91224_L_2,atpe,VIC,Unknown,35.29063110036479,0.036370512555990483
B2,FALSE,AM_91224_L_2,atpe,VIC,Unknown,35.99601154537413,0.024487489
B3,FALSE,AM_91224_L_2,atpe,VIC,Unknown,35.46684052637707,0.032948161000502206
B4,FALSE,AM_91224_S_2,atpe,VIC,Unknown,Undetermined,
B5,FALSE,AM_91224_S_2,atpe,VIC,Unknown,Undetermined,
B6,FALSE,AM_91224_S_2,atpe,VIC,Unknown,36.11956829390921,0.022848111377664636
B7,FALSE,AM_91224_L_10,atpe,VIC,Unknown,Undetermined,
B8,FALSE,AM_91224_L_10,atpe,VIC,Unknown,Undetermined,
B9,FALSE,AM_91224_L_10,atpe,VIC,Unknown,34.006386405770186,0.074738602
B10,FALSE,DNA_6,atpe,VIC,Standard,20.92949747219977,97.07655752
B11,FALSE,DNA_6,atpe,VIC,Standard,20.69261849292476,97.07655752
B12,FALSE,DNA_6,atpe,VIC,Standard,20.795468272488627,97.07655752
C1,FALSE,AM_91224_L_3,atpe,VIC,Unknown,36.03204509,0.023997599063995807
C2,FALSE,AM_91224_L_3,atpe,VIC,Unknown,35.389447725145004,0.03440973
C3,FALSE,AM_91224_L_3,atpe,VIC,Unknown,37.03675711771203,0.013660175787778134
C4,FALSE,AM_91224_S_3,atpe,VIC,Unknown,Undetermined,
C5,FALSE,AM_91224_S_3,atpe,VIC,Unknown,Undetermined,
C6,FALSE,AM_91224_S_3,atpe,VIC,Unknown,Undetermined,
C7,FALSE,AM_91224_L_11,atpe,VIC,Unknown,33.99331401285369,0.07528855
C8,FALSE,AM_91224_L_11,atpe,VIC,Unknown,33.52032814584422,0.098159239
C9,FALSE,AM_91224_L_11,atpe,VIC,Unknown,34.749307758989204,0.049271547828398155
C10,FALSE,DNA_9,atpe,VIC,Standard,26.23793326866273,6.489962981
C11,FALSE,DNA_9,atpe,VIC,Standard,25.843172567799108,6.489962981
C12,FALSE,DNA_9,atpe,VIC,Standard,25.824085519104628,6.489962981
D1,FALSE,AM_91224_L_4,atpe,VIC,Unknown,34.341265802244024,0.061941321352965616
D2,FALSE,AM_91224_L_4,atpe,VIC,Unknown,34.520132039896836,0.05602929
