Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
D10,FALSE,DNA_13,atpe,VIC,Standard,38,0.176094594
D11,FALSE,DNA_13,atpe,VIC,Standard,Undetermined,0.176094594
D12,FALSE,DNA_13,atpe,VIC,Standard,34.141398225150766,0.176094594
E10,FALSE,DNA_15,atpe,VIC,Standard,36.42292090340419,0.029006673
E11,FALSE,DNA_15,atpe,VIC,Standard,Undetermined,0.029006673
E12,FALSE,DNA_15,atpe,VIC,Standard,Undetermined,0.029006673
A10,FALSE,DNA_4,atpe,VIC,Standard,18.383232659950657,589.3353141
A11,FALSE,DNA_4,atpe,VIC,Standard,17.956378542605478,589.3353141
A12,FALSE,DNA_4,atpe,VIC,Standard,18.66315007125317,589.3353141
B10,FALSE,DNA_6,atpe,VIC,Standard,20.95297002560342,97.07655752
B11,FALSE,DNA_6,atpe,VIC,Standard,20.910535880657605,97.07655752
B12,FALSE,DNA_6,atpe,VIC,Standard,20.702388857048064,97.07655752
C10,FALSE,DNA_9,atpe,VIC,Standard,26.317267251542724,6.489962981
C11,FALSE,DNA_9,atpe,VIC,Standard,26.64206517149956,6.489962981
C12,FALSE,DNA_9,atpe,VIC,Standard,26.432469800401876,6.489962981
G4,FALSE,HJ_10825_1,atpe,VIC,Unknown,37.10041771471673,0.047185991
G5,FALSE,HJ_10825_1,atpe,VIC,Unknown,33.239654633173785,0.30998333893961977
G6,FALSE,HJ_10825_1,atpe,VIC,Unknown,32.34815562355965,0.47875714993247764
H4,FALSE,HJ_10825_2,atpe,VIC,Unknown,34.61637769,0.15842150946723307
H5,FALSE,HJ_10825_2,atpe,VIC,Unknown,32.90342086607889,0.3652049106580245
H6,FALSE,HJ_10825_2,atpe,VIC,Unknown,31.031933711227836,0.9095534472544445
A7,FALSE,HJ_10825_3,atpe,VIC,Unknown,33.46842786690409,0.2772650346106744
A8,FALSE,HJ_10825_3,atpe,VIC,Unknown,34.50068913574364,0.1676144509603002
A9,FALSE,HJ_10825_3,atpe,VIC,Unknown,32.35619308007416,0.4768846279084086
B7,FALSE,HJ_10825_4,atpe,VIC,Unknown,30.175807288426412,1.380749581926101
B8,FALSE,HJ_10825_4,atpe,VIC,Unknown,30.290408912336638,1.3057131221191365
B9,FALSE,HJ_10825_4,atpe,VIC,Unknown,29.44152210834101,1.9751562590059517
C7,FALSE,HJ_10825_5,atpe,VIC,Unknown,32.396814525819565,0.46753232253592863
C8,FALSE,HJ_10825_5,atpe,VIC,Unknown,32.345084087520064,0.47947468
C9,FALSE,HJ_10825_5,atpe,VIC,Unknown,31.928896548959116,0.587346419
D7,FALSE,HJ_10825_6,atpe,VIC,Unknown,29.31341271074765,2.1024656667110415
D8,FALSE,HJ_10825_6,atpe,VIC,Unknown,29.60676004833512,1.8222667620799275
D9,FALSE,HJ_10825_6,atpe,VIC,Unknown,29.768923202514095,1.6837342296646165
E7,FALSE,HJ_10825_7,atpe,VIC,Unknown,31.416368535890427,0.7540901797259827
E8,FALSE,HJ_10825_7,atpe,VIC,Unknown,31.40896027,0.7568189569574812
E9,FALSE,HJ_10825_7,atpe,VIC,Unknown,31.572522504365622,0.6988071356527819
F7,FALSE,HJ_10825_8,atpe,VIC,Unknown,33.29813949127559,0.301268726
F8,FALSE,HJ_10825_8,atpe,VIC,Unknown,31.812100807659114,0.6217647349826809
F9,FALSE,HJ_10825_8,atpe,VIC,Unknown,30.557520557645987,1.1462682858952227
G7,FALSE,HJ_10825_9,atpe,VIC,Unknown,32.3031328,0.4893830873813472
G8,FALSE,HJ_10825_9,atpe,VIC,Unknown,31.24591636861671,0.8194395383939594
G9,FALSE,HJ_10825_9,atpe,VIC,Unknown,33.48068586854096,0.2756128395528089
F10,FALSE,water,atpe,VIC,Negative Control,Undetermined,
F11,FALSE,water,atpe,VIC,Negative Control,Undetermined,
F12,FALSE,water,atpe,VIC,Negative Control,Undetermined,
G10,FALSE,water,atpe,VIC,Negative Control,Undetermined,
G11,FALSE,water,atpe,VIC,Negative Control,Undetermined,
G12,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H7,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H8,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H9,TRUE,water,atpe,VIC,Negative Control,Undetermined,
H10,FALSE,water,atpe,VIC,Negative Control,Undetermined,
H11,TRUE,water,atpe,VIC,Negative Control,Undetermined,
H12,FALSE,water,atpe,VIC,Negative Control,Undetermined,
