Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
D8,FALSE,DNA_12,atpe,VIC,Standard,36.841247499437415,0.43388044
D9,FALSE,DNA_12,atpe,VIC,Standard,35.283643207458795,0.43388044
D10,FALSE,DNA_12,atpe,VIC,Standard,36.46765274385531,0.43388044
E8,FALSE,DNA_15,atpe,VIC,Standard,35.48312565433845,0.029006673
E9,FALSE,DNA_15,atpe,VIC,Standard,36.90752407591728,0.029006673
E10,FALSE,DNA_15,atpe,VIC,Standard,Undetermined,0.029006673
A8,FALSE,DNA_4,atpe,VIC,Standard,20.24476311662218,589.3353141
A9,FALSE,DNA_4,atpe,VIC,Standard,20.264844623093893,589.3353141
A10,FALSE,DNA_4,atpe,VIC,Standard,20.277623939269894,589.3353141
B8,FALSE,DNA_6,atpe,VIC,Standard,23.091931179531024,97.07655752
B9,FALSE,DNA_6,atpe,VIC,Standard,22.989372511016164,97.07655752
B10,FALSE,DNA_6,atpe,VIC,Standard,22.957901421104253,97.07655752
C8,FALSE,DNA_9,atpe,VIC,Standard,28.04983993218748,6.489962981
C9,FALSE,DNA_9,atpe,VIC,Standard,28.01946837596671,6.489962981
C10,FALSE,DNA_9,atpe,VIC,Standard,28.15850323792641,6.489962981
E1,FALSE,mLN_B1,atpe,VIC,Unknown,29.778624727733607,3.3804385713150933
E2,FALSE,mLN_B1,atpe,VIC,Unknown,29.510409321164204,3.9087379607687276
E3,FALSE,mLN_B1,atpe,VIC,Unknown,29.76867390198087,3.3986990694975674
F1,FALSE,mLN_B2,atpe,VIC,Unknown,33.768756239276385,0.3897650445039329
F2,FALSE,mLN_B2,atpe,VIC,Unknown,34.612814034183714,0.24680037219151246
F3,FALSE,mLN_B2,atpe,VIC,Unknown,34.66037269122208,0.24052692240965354
G1,FALSE,mLN_B3,atpe,VIC,Unknown,33.86706104724742,0.3695636125950482
G2,FALSE,mLN_B3,atpe,VIC,Unknown,32.93226897796376,0.6130275054561255
G3,FALSE,mLN_B3,atpe,VIC,Unknown,31.865427634331873,1.0922410356826007
H1,FALSE,mLN_B4,atpe,VIC,Unknown,31.815885645435827,1.1219330225714745
H2,FALSE,mLN_B4,atpe,VIC,Unknown,32.02603867527689,1.0012792146923366
H3,FALSE,mLN_B4,atpe,VIC,Unknown,32.21274123896063,0.9050179761528151
F7,FALSE,mLN_S1,atpe,VIC,Unknown,30.910286679033838,0.5570778550450217
F8,FALSE,mLN_S1,atpe,VIC,Unknown,30.959200745986045,0.5425740265021135
F9,FALSE,mLN_S1,atpe,VIC,Unknown,31.11700773005515,0.4983066316546252
B1,FALSE,mLN_S2,atpe,VIC,Unknown,28.711260780133983,6.0246864938405125
B2,FALSE,mLN_S2,atpe,VIC,Unknown,28.53832439179525,6.616003230283727
B3,FALSE,mLN_S2,atpe,VIC,Unknown,28.85941960629674,5.560309442566793
C1,FALSE,mLN_S3,atpe,VIC,Unknown,28.43797869260777,6.985367381933558
C2,FALSE,mLN_S3,atpe,VIC,Unknown,27.910735378842602,9.293003043157672
C3,FALSE,mLN_S3,atpe,VIC,Unknown,28.48091421427258,6.824866171576791
G7,FALSE,mLN_S5,atpe,VIC,Unknown,26.033561704388468,7.729769727585915
G8,FALSE,mLN_S5,atpe,VIC,Unknown,25.86570350152403,8.462197077070602
G9,FALSE,mLN_S5,atpe,VIC,Unknown,Undetermined,
H7,FALSE,Spleen_B1,atpe,VIC,Unknown,29.072323951359195,1.501110359272419
H8,FALSE,Spleen_B1,atpe,VIC,Unknown,28.815194676364605,1.7244027769025132
H9,FALSE,Spleen_B1,atpe,VIC,Unknown,28.27413427299924,2.308705615482071
G4,FALSE,Spleen_B2,atpe,VIC,Unknown,32.479179093962045,0.7834506405802443
G5,FALSE,Spleen_B2,atpe,VIC,Unknown,31.74815854735352,1.1638341692383172
G6,FALSE,Spleen_B2,atpe,VIC,Unknown,31.67302539,1.2121506750477813
H4,FALSE,Spleen_B3,atpe,VIC,Unknown,33.31401058662553,0.4985673970291158
H5,FALSE,Spleen_B3,atpe,VIC,Unknown,33.39635228044726,0.4768299
H6,FALSE,Spleen_B3,atpe,VIC,Unknown,34.279006432710645,0.2956865206471672
A7,FALSE,Spleen_B4,atpe,VIC,Unknown,31.413540175133413,1.3949782964798842
B7,FALSE,Spleen_B4,atpe,VIC,Unknown,31.433453846733677,1.3800197321939394
C7,FALSE,Spleen_B4,atpe,VIC,Unknown,31.608957004312472,1.2549329850887894
A4,FALSE,Spleen_S1,atpe,VIC,Unknown,32.16090724557793,0.9307746566883529
A5,FALSE,Spleen_S1,atpe,VIC,Unknown,32.56111790276621,0.74945571
A6,FALSE,Spleen_S1,atpe,VIC,Unknown,31.975144619450965,1.0292515848836639
B4,FALSE,Spleen_S2,atpe,VIC,Unknown,31.61435102203866,1.2512735923239255
B5,FALSE,Spleen_S2,atpe,VIC,Unknown,31.720094045792507,1.181652294531588
B6,FALSE,Spleen_S2,atpe,VIC,Unknown,31.716115061361016,1.1842005319916695
C4,FALSE,Spleen_S3,atpe,VIC,Unknown,32.54417573696627,0.7563615779678153
C5,FALSE,Spleen_S3,atpe,VIC,Unknown,32.78788103564659,0.662870714
C6,FALSE,Spleen_S3,atpe,VIC,Unknown,32.28573131699248,0.8699525940767766
D4,FALSE,Spleen_S4,atpe,VIC,Unknown,30.392343554475403,2.424788547338555
D5,FALSE,Spleen_S4,atpe,VIC,Unknown,29.76847787189856,3.3990597881295526
D6,FALSE,Spleen_S4,atpe,VIC,Unknown,30.337461742305663,2.4979159860830515
E4,FALSE,Spleen_S5,atpe,VIC,Unknown,34.780842884600574,0.22534007128040526
E5,FALSE,Spleen_S5,atpe,VIC,Unknown,33.96522395526597,0.3504361368076281
E6,FALSE,Spleen_S5,atpe,VIC,Unknown,34.69688178300629,0.2358194277996388
D7,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
E7,TRUE,Water,atpe,VIC,Negative Control,Undetermined,
F7,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
G7,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
H7,FALSE,Water,atpe,VIC,Negative Control,Undetermined,
