"Well","Omit","Sample","Target","Dye","Task","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"A1",FALSE,"ZH_1","atpe","VIC","Unknown","27.127064689118654",7.39062511183193,2576926.46856065,"20241015","ZH"
"B1",FALSE,"ZH_1","atpe","VIC","Unknown","26.699853847123798",9.50521232667374,3314230.23942599,"20241015","ZH"
"C1",FALSE,"ZH_1","atpe","VIC","Unknown","26.648170080990617",9.79901774061062,3416672.85237469,"20241015","ZH"
"A10",FALSE,"ZH_10","atpe","VIC","Unknown","25.134965225322716",23.8924538779694,8330702.18897119,"20241015","ZH"
"B10",FALSE,"ZH_10","atpe","VIC","Unknown","25.03850577238709",25.2892011337131,8817713.08706871,"20241015","ZH"
"C10",FALSE,"ZH_10","atpe","VIC","Unknown","25.197644660521036",23.0264686676899,8028754.76558225,"20241015","ZH"
"A11",FALSE,"ZH_11","atpe","VIC","Unknown","27.689157009221987",5.30759535613474,1850625.99586288,"20241015","ZH"
"B11",FALSE,"ZH_11","atpe","VIC","Unknown","27.555268953822257",5.7431003694583,2002475.72156844,"20241015","ZH"
"C11",FALSE,"ZH_11","atpe","VIC","Unknown","27.55246357555839",5.75259795865469,2005787.29381265,"20241015","ZH"
"A12",FALSE,"ZH_12","atpe","VIC","Unknown","33.007028971405944",0.231517975208893,80724.5380784145,"20241015","ZH"
"B12",FALSE,"ZH_12","atpe","VIC","Unknown","32.248751482384066",0.361869768740412,126174.954233058,"20241015","ZH"
"C12",FALSE,"ZH_12","atpe","VIC","Unknown","31.754585360887177",0.484127921459576,168803.31989525,"20241015","ZH"
"D1",FALSE,"ZH_13","atpe","VIC","Unknown","26.068677141473394",13.7853245426895,4806598.51558212,"20241015","ZH"
"E1",FALSE,"ZH_13","atpe","VIC","Unknown","26.047404781900575",13.9591338096861,4867201.46781246,"20241015","ZH"
"F1",FALSE,"ZH_13","atpe","VIC","Unknown","26.104697537620353",13.495934688719,4705695.49815865,"20241015","ZH"
"D2",FALSE,"ZH_14","atpe","VIC","Unknown","24.17306498238399",42.1031994369429,14680334.5317095,"20241015","ZH"
"E2",FALSE,"ZH_14","atpe","VIC","Unknown","24.204903676971732",41.3209932766827,14407598.7715072,"20241015","ZH"
"F2",FALSE,"ZH_14","atpe","VIC","Unknown","24.16452914074685",42.3154116284545,14754327.6249842,"20241015","ZH"
"D3",FALSE,"ZH_15","atpe","VIC","Unknown","27.26706859450899",6.80562689948551,2372952.19647333,"20241015","ZH"
"E3",FALSE,"ZH_15","atpe","VIC","Unknown","27.304745475163834",6.65626157094285,2320872.23533572,"20241015","ZH"
"F3",FALSE,"ZH_15","atpe","VIC","Unknown","27.29692201241165",6.68700463108465,2331591.5729026,"20241015","ZH"
"D4",FALSE,"ZH_16","atpe","VIC","Unknown","27.791889043405504",4.99595966274045,1741966.40960267,"20241015","ZH"
"E4",FALSE,"ZH_16","atpe","VIC","Unknown","27.988792459743394",4.44888291232651,1551214.40457689,"20241015","ZH"
"F4",FALSE,"ZH_16","atpe","VIC","Unknown","27.65594394145692",5.41244775408598,1887185.40937447,"20241015","ZH"
"D5",FALSE,"ZH_17","atpe","VIC","Unknown","24.96965061408597",26.3359069264669,9182673.26585316,"20241015","ZH"
"E5",FALSE,"ZH_17","atpe","VIC","Unknown","24.830331451668606",28.5881569824294,9967976.63264623,"20241015","ZH"
"F5",FALSE,"ZH_17","atpe","VIC","Unknown","24.86374703608294",28.0309904001648,9773706.55514812,"20241015","ZH"
"D6",FALSE,"ZH_18","atpe","VIC","Unknown","27.274718214543633",6.77503216635892,2362284.57683365,"20241015","ZH"
"E6",FALSE,"ZH_18","atpe","VIC","Unknown","27.20682139400894",7.051465519,2458669.98570432,"20241015","ZH"
"F6",FALSE,"ZH_18","atpe","VIC","Unknown","27.101249068032935",7.50386161400969,2616409.20990575,"20241015","ZH"
"D7",FALSE,"ZH_19","atpe","VIC","Unknown","26.981814937123918",8.05074552444767,2807093.97644619,"20241015","ZH"
"E7",FALSE,"ZH_19","atpe","VIC","Unknown","26.945731032195347",8.22368320449931,2867393.0280681,"20241015","ZH"
"F7",FALSE,"ZH_19","atpe","VIC","Unknown","26.748144749937524",9.23866025439985,3221290.18633189,"20241015","ZH"
"A2",FALSE,"ZH_2","atpe","VIC","Unknown","24.605247453491543",32.6409436698643,11381082.1721981,"20241015","ZH"
"B2",FALSE,"ZH_2","atpe","VIC","Unknown","24.710212067790657",30.684053350661,10698763.3719181,"20241015","ZH"
"C2",FALSE,"ZH_2","atpe","VIC","Unknown","24.902752023234335",27.3943472381689,9551724.97844104,"20241015","ZH"
"D8",FALSE,"ZH_20","atpe","VIC","Unknown","24.424418052470315",36.30938691,12660176.7468619,"20241015","ZH"
"E8",FALSE,"ZH_20","atpe","VIC","Unknown","24.494012229196528",34.85111735755,12151714.5598152,"20241015","ZH"
"F8",FALSE,"ZH_20","atpe","VIC","Unknown","24.264977741956855",39.8844667952465,13906717.8505043,"20241015","ZH"
"D9",FALSE,"ZH_21","atpe","VIC","Unknown","26.925235134365572",8.32356217883642,2902218.33292762,"20241015","ZH"
"E9",FALSE,"ZH_21","atpe","VIC","Unknown","26.914590847874436",8.3759107207261,2920470.96259627,"20241015","ZH"
"F9",FALSE,"ZH_21","atpe","VIC","Unknown","26.99346150049466",7.99570762669761,2787903.63552915,"20241015","ZH"
"D10",FALSE,"ZH_22","atpe","VIC","Unknown","30.56593773383227",0.975026716883385,339967.474506062,"20241015","ZH"
"E10",FALSE,"ZH_22","atpe","VIC","Unknown","30.532072882236555",0.994670308676433,346816.704559426,"20241015","ZH"
"F10",FALSE,"ZH_22","atpe","VIC","Unknown","30.735618316894595",0.882291665846187,307633.077352227,"20241015","ZH"
"A3",FALSE,"ZH_3","atpe","VIC","Unknown","23.83461709150587",51.3913660003112,17918886.3320471,"20241015","ZH"
"B3",FALSE,"ZH_3","atpe","VIC","Unknown","23.508618434370653",62.2702639243513,21712086.4450318,"20241015","ZH"
"C3",FALSE,"ZH_3","atpe","VIC","Unknown","23.555766236812595",60.5647997719914,21117433.6722425,"20241015","ZH"
"A4",FALSE,"ZH_4","atpe","VIC","Unknown","28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
"B4",FALSE,"ZH_4","atpe","VIC","Unknown","28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"C4",FALSE,"ZH_4","atpe","VIC","Unknown","28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"A5",FALSE,"ZH_5","atpe","VIC","Unknown","26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"B5",FALSE,"ZH_5","atpe","VIC","Unknown","25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"C5",FALSE,"ZH_5","atpe","VIC","Unknown","25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"A6",FALSE,"ZH_6","atpe","VIC","Unknown","25.49561539123001",19.3199654794105,6736389.63717243,"20241015","ZH"
"B6",FALSE,"ZH_6","atpe","VIC","Unknown","25.279879008882986",21.9377342490994,7649140.25421875,"20241015","ZH"
"C6",FALSE,"ZH_6","atpe","VIC","Unknown","25.290083803015868",21.8062698479464,7603301.89956291,"20241015","ZH"
"A7",FALSE,"ZH_7","atpe","VIC","Unknown","28.970747191862863",2.49497782029948,869936.47848657,"20241015","ZH"
"B7",FALSE,"ZH_7","atpe","VIC","Unknown","28.82918604904372",2.71192745566801,945581.400163182,"20241015","ZH"
"C7",FALSE,"ZH_7","atpe","VIC","Unknown","29.07879005045595",2.34115030395724,816300.663862358,"20241015","ZH"
"A8",FALSE,"ZH_8","atpe","VIC","Unknown","23.04511564309263",81.8172439698072,28527630.3939356,"20241015","ZH"
"B8",FALSE,"ZH_8","atpe","VIC","Unknown","22.741176050088207",97.85717552,34120354.0864714,"20241015","ZH"
"C8",FALSE,"ZH_8","atpe","VIC","Unknown","22.790124895645498",95.0761415268995,33150676.9619594,"20241015","ZH"
"A9",FALSE,"ZH_9","atpe","VIC","Unknown","22.77035648491509",96.1896430853874,33538927.1566902,"20241015","ZH"
"B9",FALSE,"ZH_9","atpe","VIC","Unknown","22.587316539988585",107.139590179787,37356900.3416274,"20241015","ZH"
"C9",FALSE,"ZH_9","atpe","VIC","Unknown","22.672872518522425",101.874323617437,35521033.3394132,"20241015","ZH"
