Sample,N3,N3.1,N3.2,N4,N4.1,N4.2,N5,N5.1,N5.2
ZH_1,NA,NA,NA,22,23,29,NA,NA,NA
ZH_2,NA,NA,NA,69,86,NA,NA,NA,NA
ZH_3,NA,NA,NA,NA,NA,NA,9,27,30
ZH_4,NA,NA,NA,8,9,8,NA,NA,NA
ZH_5,NA,NA,NA,NA,NA,NA,7,8,5
ZH_6,NA,NA,NA,NA,NA,NA,2,5,12
ZH_7,51,37,40,NA,NA,NA,NA,NA,NA
ZH_8,NA,NA,NA,NA,NA,NA,17,9,20
ZH_9,NA,NA,NA,NA,NA,NA,28,26,24
ZH_10,NA,NA,NA,NA,NA,NA,3,3,7
ZH_11,NA,NA,NA,24,21,11,NA,NA,NA
ZH_12,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZH_13,NA,NA,NA,NA,NA,NA,7,4,3
ZH_14,NA,NA,NA,NA,NA,NA,5,5,9
ZH_15,NA,NA,NA,NA,NA,NA,4,4,4
ZH_16,NA,NA,NA,8,11,17,NA,NA,NA
ZH_17,NA,NA,NA,NA,NA,NA,26,39,34
ZH_18,NA,NA,NA,NA,NA,NA,4,2,2
ZH_19,NA,NA,NA,19,23,25,NA,NA,NA
ZH_20,NA,NA,NA,NA,NA,NA,4,14,7
ZH_21,NA,NA,NA,NA,NA,NA,5,7,2
ZH_22,11,16,11,NA,NA,NA,NA,NA,NA
