Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,FALSE,zw134_1,atpe,VIC,Unknown,32.61206068666421,0.14946522420542727
A2,FALSE,zw134_1,atpe,VIC,Unknown,33.03038155584832,0.11824928733070221
A3,FALSE,zw134_1,atpe,VIC,Unknown,11.509844899870302,20272.21626766239
A4,FALSE,zw135_1,atpe,VIC,Unknown,32.39207696935948,0.16906096680799007
A5,FALSE,zw135_1,atpe,VIC,Unknown,32.69753742455333,0.14247904359095945
A6,FALSE,zw135_1,atpe,VIC,Unknown,33.47017274875495,0.092434696
A7,FALSE,zw135_9,atpe,VIC,Unknown,Undetermined,
A8,FALSE,zw135_9,atpe,VIC,Unknown,Undetermined,
A9,FALSE,zw135_9,atpe,VIC,Unknown,Undetermined,
A10,FALSE,DNASD_1,atpe,VIC,Standard,13.552026772377712,8815.249592
A11,FALSE,DNASD_1,atpe,VIC,Standard,13.078422776591623,8815.249592
A12,FALSE,DNASD_1,atpe,VIC,Standard,13.492467530390218,8815.249592
B1,FALSE,zw134_2,atpe,VIC,Unknown,31.50878876210875,0.2772500858758431
B2,FALSE,zw134_2,atpe,VIC,Unknown,32.129458029622285,0.19584659947840383
B3,FALSE,zw134_2,atpe,VIC,Unknown,32.14641551346921,0.19399553409556888
B4,FALSE,zw135_2,atpe,VIC,Unknown,30.81812231317432,0.40817994270328284
B5,FALSE,zw135_2,atpe,VIC,Unknown,30.84015488,0.40317447184849736
B6,FALSE,zw135_2,atpe,VIC,Unknown,30.146680370506388,0.5945056086855095
B7,FALSE,zw135_10,atpe,VIC,Unknown,Undetermined,
B8,FALSE,zw135_10,atpe,VIC,Unknown,34.86936599074632,0.042221259
B9,FALSE,zw135_10,atpe,VIC,Unknown,Undetermined,
B10,FALSE,DNASD_3,atpe,VIC,Standard,14.836233040820048,1452.066529
B11,FALSE,DNASD_3,atpe,VIC,Standard,15.739523142288135,1452.066529
B12,FALSE,DNASD_3,atpe,VIC,Standard,15.757855935763516,1452.066529
C1,FALSE,zw134_3,atpe,VIC,Unknown,32.831689587591754,0.13216707053744656
C2,FALSE,zw134_3,atpe,VIC,Unknown,32.37007939062477,0.17115653052149876
C3,FALSE,zw134_3,atpe,VIC,Unknown,32.80042644206341,0.13450143217121072
C4,FALSE,zw135_3,atpe,VIC,Unknown,33.29747031896821,0.10182131931744642
C5,FALSE,zw135_3,atpe,VIC,Unknown,32.49405257446442,0.15967665300041065
C6,FALSE,zw135_3,atpe,VIC,Unknown,32.24780639949262,0.18328714940584967
C7,FALSE,zw135_11,atpe,VIC,Unknown,34.22527846607231,0.060559529441208446
C8,FALSE,zw135_11,atpe,VIC,Unknown,34.27776853847455,0.058805257
C9,FALSE,zw135_11,atpe,VIC,Unknown,33.311275451210946,0.10103715621906362
C10,FALSE,DNASD_5,atpe,VIC,Standard,20.33343882197989,239.1874652
C11,FALSE,DNASD_5,atpe,VIC,Standard,20.53531393,239.1874652
C12,FALSE,DNASD_5,atpe,VIC,Standard,19.519114527032066,239.1874652
D1,FALSE,zw134_4,atpe,VIC,Unknown,32.95145685806685,0.12359307815890327
D2,FALSE,zw134_4,atpe,VIC,Unknown,13.392358794084117,7063.938233650289
D3,FALSE,zw134_4,atpe,VIC,Unknown,31.999401857336743,0.21064325578488896
D4,FALSE,zw135_4,atpe,VIC,Unknown,32.61075774258521,0.1495743253289192
D5,FALSE,zw135_4,atpe,VIC,Unknown,35.44825095476358,0.030530791907960462
D6,FALSE,zw135_4,atpe,VIC,Unknown,33.979557170124906,0.069493699
D7,FALSE,zw135_12,atpe,VIC,Unknown,34.885004919340574,0.041853094202002145
D8,FALSE,zw135_12,atpe,VIC,Unknown,33.47781511022177,0.092039931
D9,FALSE,zw135_12,atpe,VIC,Unknown,34.92269865326969,0.040978864
D10,FALSE,DNASD_8,atpe,VIC,Standard,23.686499996776362,15.99065557
D11,FALSE,DNASD_8,atpe,VIC,Standard,23.742966940685058,15.99065557
D12,FALSE,DNASD_8,atpe,VIC,Standard,24.060118129885282,15.99065557
E1,FALSE,zw134_5,atpe,VIC,Unknown,34.612459545274234,0.048754477769754404
E2,FALSE,zw134_5,atpe,VIC,Unknown,33.37314698513552,0.097596237
E3,FALSE,zw134_5,atpe,VIC,Unknown,32.29353907270496,0.1786525320343791
E4,FALSE,zw135_5,atpe,VIC,Unknown,33.62538661870765,0.084739282
E5,FALSE,zw135_5,atpe,VIC,Unknown,31.362704080572406,0.3008857194624869
E6,FALSE,zw135_5,atpe,VIC,Unknown,31.573844206779548,0.26733096960691827
E7,FALSE,zw135_13,atpe,VIC,Unknown,36.41098115854001,0.017806899060489323
E8,FALSE,zw135_13,atpe,VIC,Unknown,35.080375135998565,0.0375155
E9,FALSE,zw135_13,atpe,VIC,Unknown,34.834227121953376,0.04306034
E10,FALSE,DNASD_14,atpe,VIC,Standard,34.35608927314628,0.071469702
E11,FALSE,DNASD_14,atpe,VIC,Standard,Undetermined,0.071469702
E12,FALSE,DNASD_14,atpe,VIC,Standard,Undetermined,0.071469702
F1,FALSE,zw134_6,atpe,VIC,Unknown,32.55954820994383,0.15392598601657106
F2,FALSE,zw134_6,atpe,VIC,Unknown,32.642047512379506,0.1469761721739816
F3,FALSE,zw134_6,atpe,VIC,Unknown,31.859390997108008,0.22782438416669926
F4,FALSE,zw135_6,atpe,VIC,Unknown,10.715354265900869,31632.44272
F5,FALSE,zw135_6,atpe,VIC,Unknown,34.70566792113186,0.046274837
F6,FALSE,zw135_6,atpe,VIC,Unknown,Undetermined,
F7,FALSE,zw135_14,atpe,VIC,Unknown,Undetermined,
F8,FALSE,zw135_14,atpe,VIC,Unknown,Undetermined,
F9,FALSE,zw135_14,atpe,VIC,Unknown,Undetermined,
F10,FALSE,Water,atpe,VIC,Negative Control (NTC),34.43881752241309,
F11,FALSE,Water,atpe,VIC,Negative Control (NTC),Undetermined,
F12,FALSE,Water,atpe,VIC,Negative Control (NTC),Undetermined,
G1,FALSE,zw134_7,atpe,VIC,Unknown,30.742729750811087,0.42578289567484184
G2,FALSE,zw134_7,atpe,VIC,Unknown,32.403420168161816,0.16799042153241614
G3,FALSE,zw134_7,atpe,VIC,Unknown,32.46327395095334,0.16245280807946294
G4,FALSE,zw135_7,atpe,VIC,Unknown,Undetermined,
G5,FALSE,zw135_7,atpe,VIC,Unknown,33.762847497036816,0.078460727
G6,FALSE,zw135_7,atpe,VIC,Unknown,Undetermined,
G7,FALSE,zw135_15,atpe,VIC,Unknown,Undetermined,
G8,FALSE,zw135_15,atpe,VIC,Unknown,34.381992820223346,0.055471168808860646
G9,FALSE,zw135_15,atpe,VIC,Unknown,34.54933029088258,0.050508962
H1,FALSE,zw134_8,atpe,VIC,Unknown,33.27630095052895,0.10303562588239114
H2,FALSE,zw134_8,atpe,VIC,Unknown,32.40689539605489,0.16766379602571993
H3,FALSE,zw134_8,atpe,VIC,Unknown,32.221264333216965,0.18603190248417356
H4,FALSE,zw135_8,atpe,VIC,Unknown,34.60230390654198,0.049032553
H5,FALSE,zw135_8,atpe,VIC,Unknown,34.85905925,0.042465665064639654
H6,FALSE,zw135_8,atpe,VIC,Unknown,Undetermined,
H7,FALSE,Water,atpe,VIC,Negative Control (NTC),Undetermined,
H8,FALSE,Water,atpe,VIC,Negative Control (NTC),33.71436159,
H9,FALSE,Water,atpe,VIC,Negative Control (NTC),Undetermined,
