"Well","Omit","Sample","Target","Dye","Task","Cq","Quantity","CFU_TaqMan"
"A7",FALSE,"AM_10925_1","atpe","VIC","Unknown","33.856787796391274",0.113702972616015,309234.025943138
"A8",FALSE,"AM_10925_1","atpe","VIC","Unknown","35.64413126",0.043364205,117936.122384937
"A9",FALSE,"AM_10925_1","atpe","VIC","Unknown","34.29085478848701",0.08997099,244690.976987448
"B7",FALSE,"AM_10925_2","atpe","VIC","Unknown","34.694419819619625",0.072373154,196830.753556485
"B8",FALSE,"AM_10925_2","atpe","VIC","Unknown","34.99624111419348",0.061501176,167262.612552301
"B9",FALSE,"AM_10925_2","atpe","VIC","Unknown","35.27120755892874",0.053024847,144209.834937238
"C7",FALSE,"AM_10925_3","atpe","VIC","Unknown","34.95228440086227",0.062976596,171275.261087866
"C8",FALSE,"AM_10925_3","atpe","VIC","Unknown","35.38782727593863",0.049792528,135419.009205021
"C9",FALSE,"AM_10925_3","atpe","VIC","Unknown","35.49599689797827",0.046970821,127744.910669456
"D7",FALSE,"AM_10925_4","atpe","VIC","Unknown","37.93195789190253",0.0126259861471575,34338.4560487548
"D8",FALSE,"AM_10925_4","atpe","VIC","Unknown","38.35836550762806",0.0100320573491527,27283.8379788671
"D9",FALSE,"AM_10925_4","atpe","VIC","Unknown","35.10723088921959",0.0579277751120077,157544.158254414
"E7",FALSE,"AM_10925_5","atpe","VIC","Unknown","35.362108579039315",0.050487996,137310.449372385
"E8",FALSE,"AM_10925_5","atpe","VIC","Unknown","34.46351415905788",0.081971214,222934.264016736
"E9",FALSE,"AM_10925_5","atpe","VIC","Unknown","34.63766101396472",0.07462285,202949.173640167
